premise,choice1,choice2,question,idx,label
The milk stayed cold.,It was pasteurized.,I stored it in the refrigerator.,cause,338,1
The woman felt an electric shock.,She grabbed the doorknob.,She pounded on the door.,cause,199,0
Our group's conversation gradually lulled to silence.,I felt awkward.,I became enraged.,effect,244,0
The man won the lottery.,He became rich.,He owed money.,effect,89,0
I finished a page of the book.,I ripped out the next page.,I turned to the next page.,effect,83,1
I lingered in bed upon awakening.,I was hungry.,It was Saturday.,cause,330,1
I put shoes on.,The floor contained broken glass.,The paint on the walls was wet.,cause,383,0
The host cancelled the party.,She was certain she had the flu.,She worried she would catch the flu.,cause,23,0
I drank a cup of coffee.,My yawning ceased.,I nodded off to sleep.,effect,276,0
The girl came across an unfamiliar word in her textbook.,She looked the term up in the dictionary.,She chucked the textbook across the room.,effect,133,0
I made a resolution to eat a healthy diet.,I attended a yoga class.,I bought fruits and vegetables.,effect,376,1
The dust came off the desk.,I wiped the desk with a cloth.,I removed the books from the desk.,cause,169,0
The girl wanted to demonstrate proper etiquette.,She threw away her napkin after eating.,She put her napkin on her lap before eating.,effect,218,1
I tipped the bottle.,The liquid in the bottle froze.,The liquid in the bottle poured out.,effect,80,1
The team lost the game.,Their best player was injured.,Their coach pumped them up.,cause,208,0
I spit out my chewing gum.,I blew a bubble with the gum.,The gum lost its flavor.,cause,287,1
The woman tolerated her friend's difficult behavior.,The woman knew her friend was going through a hard time.,The woman felt that her friend took advantage of her kindness.,cause,1,0
The girl pushed herself off the top of the slide.,She glided down the slide.,She crawled up the slide.,effect,224,0
I saw a woman getting robbed on the street.,I called 911.,I hailed a cab.,effect,85,0
The army surrendered the battle.,They were outnumbered.,They stormed the city.,cause,144,0
The woman took her family on vacation.,Her husband got laid off.,She received a salary bonus.,cause,95,1
The investigators deemed the man's death a suicide.,He left a note.,He had children.,cause,362,0
The detective revealed an anomaly in the case.,He finalized his theory.,He scrapped his theory.,effect,52,1
The boy's mouth stung.,He ate a pepper.,He blew out the candle.,cause,82,0
The stranger cried out to me in a foreign language.,I stared blankly at him.,I stopped to chat with him.,effect,222,0
I jumped instinctively in fright.,I sensed someone approaching me from behind.,I heard people chuckling in the adjacent room.,cause,201,0
The boy painted a picture for his mother.,His mother hung the picture on the wall.,His mother sold the picture to a gallery.,effect,288,0
The police aimed their weapons at the fugitive.,The fugitive fell to the ground.,The fugitive dropped his gun.,effect,32,1
The couple got engaged.,They planned a wedding.,They took some time apart.,effect,87,0
The man took a shower.,He was sweaty from working out.,He opened a new bar of soap.,cause,296,0
The bird couldn't fly.,It migrated for the winter.,It injured its wing.,cause,44,1
The police closed the investigation.,They apprehended the suspect.,The victim recovered.,cause,342,0
The driver rotated the steering wheel.,The car halted.,The car turned.,effect,143,1
The driver honked her horn.,Another car swerved into her lane.,She made a right turn at the light.,cause,381,0
The boat capsized.,The captain raised the sail.,It was caught in a hurricane.,cause,178,1
The button on my shirt fell off.,I sewed the button back on.,I glued the button back on.,effect,257,0
I spent the day at the pool.,I sprained my ankle.,My face got sunburned.,effect,91,1
The librarian located the book in the stacks.,I requested the librarian's help.,The book was checked out.,cause,384,0
The politician lost the election.,He ran negative campaign ads.,No one voted for him.,cause,5,1
The DJ turned the music on.,People left the party.,People began to dance.,effect,328,1
The family took their dog to the veterinarian.,The dog chewed on a bone.,The dog injured his paw.,cause,64,1
The customer filed a complaint with the store manager.,The sales associate undercharged the customer.,The sales associate acted rude to the customer.,cause,9,1
The ocean tide was dangerous.,The swimmers put on more sunscreen.,The swimmers returned towards the shore.,effect,303,1
The driver got pulled over by the police.,He was parking.,He was speeding.,cause,99,1
The woman's eyeglasses fogged up.,She reclined by the pool.,She entered the sauna.,cause,279,1
My view of the movie screen was blocked.,The couple behind me was whispering.,A tall person was sitting in front of me.,cause,26,1
I pressed my hand into the wet cement.,My handprint dried in the cement.,Cracks emerged in the cement.,effect,49,0
The man craved a cigarette.,His family urged him to quit smoking.,He was addicted to nicotine.,cause,76,1
The papers were disorganized.,I made photocopies of them.,I put them into alphabetical order.,effect,36,1
The flame on the candle went out.,I blew on the wick.,I put a match to the wick.,cause,8,0
I wanted to lighten the mood of the conversation.,I remained quiet.,I told a joke.,effect,235,1
The cup of tea was scalding hot.,I blew on it.,I poured it out.,effect,344,0
The woman's purse was missing.,It contained a lot of junk.,She left it unsupervised.,cause,332,1
The man held his breath.,He went underwater.,He treaded water.,cause,176,0
I needed to get cash.,I went to the bank.,I bought a wallet.,effect,334,0
The woman complimented the man.,He sneezed.,He blushed.,effect,309,1
The room was dim.,I opened the blinds.,I washed the windows.,effect,365,0
I ran the ice cube under warm water.,The ice cube stuck to my fingers.,The ice cube vanished.,effect,350,1
I pushed the gas pedal.,The car accelerated.,The car door opened.,effect,166,0
The father put his daughter in her stroller.,She learned to walk.,He was tired of carrying her.,cause,366,1
The woman hummed to herself.,She was nervous.,She was in a good mood.,cause,30,1
The woman's makeup smeared.,She brushed her hair.,She wiped her eyes.,cause,215,1
The bar closed.,It was crowded.,It was 3 AM.,cause,98,1
The speaker disarmed her debate opponent.,The speaker congratulated her opponent.,The speaker won the debate.,effect,114,1
The clock stopped ticking.,I took extra time to get ready.,The clock showed the wrong time.,effect,74,1
The woman had a religious awakening.,She began going to church.,She began travelling abroad.,effect,190,0
The boy got a black eye.,The bully mocked the boy.,The bully punched the boy.,cause,346,1
The man looked at his watch.,He realized he forgot something.,He realized he was early.,effect,106,1
I twisted the cap off the soda bottle.,The soda fizzed.,The soda leaked out.,effect,41,0
The man wanted to save money.,He withdrew money from his savings account.,He cut back on making frivolous purchases.,effect,382,1
I rubbed the soap between my hands.,The soap foamed.,My hands went numb.,effect,130,0
My ears were ringing.,I went to a museum.,I went to a concert.,cause,95,1
My knees buckled on the stairs.,I caught myself on the railing.,The railing came loose from the wall.,effect,325,0
The girl wanted to make her mother happy.,The girl ate the cookies her mother baked.,The girl picked a flower for her mother.,effect,220,1
The gardener pulled the weeds.,The weeds came out of the soil.,The weeds produced seeds.,effect,357,0
The rocket flew up into the sky.,The girl launched it.,The girl designed it.,cause,194,0
The mother became eye level with her son.,She squatted down.,She held his hand.,cause,385,0
The motorcyclist twisted the throttle.,The motorcycle coasted to a halt.,The motorcycle shot forward.,effect,170,1
Political violence broke out in the nation.,Many citizens relocated to the capitol.,Many citizens took refuge in other territories.,effect,83,1
The football coach lost his voice after the game.,He yelled whenever a player fumbled the ball.,He whistled whenever a player scored a touchdown.,cause,308,0
The shop was closed.,The owner was helping customers.,The shop was undergoing renovation.,cause,68,1
The woman felt reluctant to switch careers.,She made a lot of money in her current occupation.,She endured a lot of stress in her current occupation.,cause,301,0
I avoided giving a straight answer to the question.,The question made me uncomfortable.,I wanted to be honest.,cause,116,0
The boy wanted to be muscular.,He lifted weights.,He played computer games.,effect,336,0
The boy giggled uncontrollably.,His brother tickled him.,His brother kicked him.,cause,324,0
The man closed the umbrella.,He got out of the car.,He approached the building.,cause,75,1
The leader received praise.,He fought poverty.,He raised taxes.,cause,264,0
The group overlooked the woman's faux pas.,The woman was relieved.,The woman apologized.,effect,132,0
The city re-elected the mayor.,The city cut its budget.,The mayor fulfilled his promises.,cause,370,1
It got dark outside.,Snowflakes began to fall from the sky.,The moon became visible in the sky.,effect,17,1
The woman sensed a pleasant smell.,She remembered to take her medication.,She was reminded of her childhood.,effect,97,1
My eyes became red and puffy.,I was sobbing.,I was laughing.,cause,7,0
The girl refused to eat her vegetables.,Her father told her to drink her milk.,Her father took away her dessert.,effect,28,1
The shirt shrunk.,I poured bleach on it.,I put it in the dryer.,cause,16,1
The man was lost.,He asked for directions.,He drew a map.,effect,163,0
I scrubbed the stain on the floor.,I got rid of the stain.,I got dirt on the floor.,effect,291,0
The surfer caught the wave.,The wave carried her to the shore.,She paddled her board into the ocean.,effect,113,0
The vase broke.,I stenciled it.,I glued it back together.,effect,198,1
The friends' dinnertime conversation turned to politics.,The conversation quieted down.,A debate erupted.,effect,378,1
The executive decided not to hire the applicant.,The applicant failed a background check.,The applicant had experience for the job.,cause,42,0
The crowd gave the band a standing ovation.,The band signed autographs.,The band reappeared on the stage.,effect,59,1
The cook's eyes watered.,He ran out of onions.,He cut an onion.,cause,18,1
I poured water on my sleeping friend.,My friend awoke.,My friend snored.,effect,14,0
I rubbed sandpaper on the wood.,The wood became smooth.,The wood became sticky.,effect,58,0
The grape juice fermented.,The juice turned to wine.,The juice evaporated.,effect,28,0
The man took notice of the woman.,He caught a whiff of her perfume.,He had his back turned to her.,cause,272,0
The inside of the train went dark.,The train travelled through a tunnel.,The train ran off the tracks.,cause,122,0
The woman asked the man to leave.,He insulted her.,He thanked her.,cause,70,0
My friend paid for my ticket.,I sought a refund.,I paid her back.,effect,228,1
The police searched the offender's car.,They were trying to elicit a confession.,They were looking for illegal drugs.,cause,35,1
The smoke alarm went off.,I lit a candle.,I burnt my dinner.,cause,197,1
The cat purred.,It scratched me.,I petted it.,cause,250,1
The baby pulled the mother's hair.,The baby burped.,The mother grimaced.,effect,164,1
The clock chimed.,It was the top of the hour.,The hour seemed to drag on.,cause,33,0
The woman filed a restraining order against the man.,The man called her.,The man stalked her.,cause,302,1
The man dressed in his best suit.,He scheduled a meeting with an important client.,His wife bought him a new tie.,cause,23,0
The spy discovered the enemy's location.,The spy bugged the enemy's phone.,The spy was hired by the government.,cause,367,0
The engine of the airplane was faulty.,The airplane crashed.,The pilot made an error.,effect,254,0
I approached the man.,He looked busy.,He looked familiar.,cause,263,1
The animal species became endangered.,Their habitat was destroyed.,Their predators went extinct.,cause,64,0
The computer was expensive to fix.,I got it repaired.,I bought a new one.,effect,98,1
The boy pushed his sister.,His sister tattled on him.,They played hide and seek.,effect,251,0
We found empty seats in the theatre.,The film began.,We sat down.,effect,151,1
I ran out of breath.,I climbed several flights of stairs.,I read several chapters of the book.,cause,305,0
The woman exaggerated the details of the story.,She wanted attention.,She felt shy.,cause,371,0
The clay hardened.,The potter rolled the clay into a ball.,The potter put the clay in the oven.,cause,269,1
The woman covered her mouth with her hand.,She exhaled.,She sneezed.,cause,29,1
The police eliminated the woman from the list of suspects.,The police interrogated her.,Her alibi checked out.,cause,211,1
I hung up the phone.,The caller said goodbye to me.,The caller identified himself to me.,cause,18,0
The woman's ring slipped off in the shower.,The woman polished the ring.,The ring went down the drain.,effect,19,1
The nurse prepared the needle for the patient's injection.,The patient bled.,The patient tensed up.,effect,47,1
I was confused by the professor's lecture.,I paid attention to the professor.,I asked the professor questions.,effect,109,1
The woman betrayed her friend.,Her friend sent her a greeting card.,Her friend cut off contact with her.,effect,271,1
I put ice cubes in the hot soup.,The soup cooled down.,The soup became thick.,effect,340,0
The sun emerged from the clouds.,The woman glanced at her watch.,The woman took her sweater off.,effect,307,1
The child disobeyed her parents.,Her parents hugged her.,Her parents punished her.,effect,226,1
The man perceived that the woman looked different.,The woman got her hair cut.,The woman wore a bracelet.,cause,65,0
Air pollution in the city worsened.,Factories increased their production.,Factories shut down.,cause,392,0
I pulled the rubber band.,It flung across the room.,It stretched.,effect,48,1
The boy threw a temper tantrum.,His brother took his toys from him.,He shared his toys with his brother.,cause,53,0
I put rubber gloves on.,I was preparing to wash my hands.,I was preparing to clean the bathroom.,cause,63,1
The toddler started crying.,Her parents took away her toy.,Her parents gave her a toy.,effect,221,1
The pond froze over for the winter.,People skated on the pond.,People brought boats to the pond.,effect,12,0
The physician misdiagnosed the patient.,The patient filed a malpractice lawsuit against the physician.,The patient disclosed confidential information to the physician.,effect,8,0
The book was deemed inappropriate for children.,Schools banned it from its libraries.,Teachers required students to read it.,effect,110,0
The computer crashed.,I backed up my files.,I downloaded a virus.,cause,363,1
The car looked filthy.,The owner took it to the car wash.,He owner took it in for a paint job.,effect,227,0
The gardener wanted his plants to flourish.,He planted a variety of seeds.,He put fertilizer in the soil.,effect,202,1
The customer came into the boutique.,She left her wallet at home.,The window display caught her eye.,cause,351,1
The student flaunted his test grade to his classmates.,He received a perfect score.,He feigned interest in the class.,cause,192,0
The book became a huge bestseller.,It was adapted into a movie.,The author faded into obscurity.,effect,298,0
The girl met her favorite actor.,She went to see his new film.,She asked him for his autograph.,effect,247,1
I pushed the pendulum.,It slowed to a stop.,It swung back and forth.,effect,101,1
The bodybuilder lifted weights.,The gym closed.,Her muscles became fatigued.,effect,52,1
My breath smelled of garlic.,I wiped my mouth.,I brushed my teeth.,effect,162,1
The boy read the novel aloud to his grandfather.,His grandfather was deaf.,His grandfather was blind.,cause,89,1
The boaters set off a flare.,Their boat drifted to shore.,Their boat was rescued.,effect,62,1
The hunter ran out of ammunition.,He reloaded the gun.,He aimed at the deer.,effect,348,0
The teacher assigned homework to the students.,The students passed notes.,The students groaned.,effect,72,1
