question,sentence,label,idx
What was increased in November 2011?,In November 2011 the capacity of the Tyne Tunnel was increased when a project to build a second road tunnel and refurbish the first tunnel was completed.,0,3235
Who helped develop the first man-made self-sustaining nuclear reaction?,"Chicago's research pursuits have been aided by unique affiliations with world-renowned institutions like the nearby Fermilab and Argonne National Laboratory, as well as the Marine Biological Laboratory.",1,5379
What suffered considerably for Warsaw when it had an Eastern Bloc economy?,"However, over the past decade Warsaw has seen many improvements due to solid economic growth, an increase in foreign investment as well as funding from the European Union.",1,5152
What is most of Warsaw's modern growth based on?,"World War II changed the demographics of the city, and to this day there is much less ethnic diversity than in the previous 300 years of Warsaw's history.",1,1149
When did Luther write  a German mass?,"He did not intend it as a replacement for his 1523 adaptation of the Latin Mass but as an alternative for the ""simple people"", a ""public stimulation for people to believe and become Christians.""",1,729
Who was the Most Valuable Player of Super Bowl 50?,"Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.",0,2119
In what state is the largest Huguenot Society located?,The Huguenot Society of America maintains Manakin Episcopal Church in Virginia as an historic shrine with occasional services.,1,2479
What applies to equally to constant velocity motion as it does to rest.,Inertia therefore applies equally well to constant velocity motion as it does to rest.,0,1515
How many Africans were brought into the United States during the slave trade?,"Participation in the African slave trade and the subsequent treatment of its 12 to 15 million Africans is viewed by some to be a more modern extension of America's ""internal colonialism"".",0,602
How many casualties did British get?,"Approximately 1,000 British soldiers were killed or injured.",0,3137
What is the most common cause of immunodeficiency in developing nations?,"However, malnutrition is the most common cause of immunodeficiency in developing countries.",0,3302
What team did Justin Tucker play for?,"Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.",0,697
"Besides Britain and North America, where else did Huguenot refugees settle?","Four thousand emigrated to the North American colonies, where they settled in New York and Virginia, especially.",1,3437
What is a statocyst?,"Its main component is a statocyst, a balance sensor consisting of a statolith, a solid particle supported on four bundles of cilia, called ""balancers"", that sense its orientation.",0,4525
What kind of amino acids are overrepresented in epitope regions?,"Early techniques relied mainly on the observation that hydrophilic amino acids are overrepresented in epitope regions than hydrophobic amino acids; however, more recent developments rely on machine learning techniques using databases of existing known epitopes, usually on well-studied virus proteins, as a training set.",0,1048
What was Newcastle named as the most type of city in the UK?,The report claimed that these noise levels would have a negative long-term impact on the health of the city's residents.,1,3378
When was Rhineland subject to the Treaty of Versailles?,"The Treaty of Versailles and this particular provision, in general, caused much resentment in Germany and is often cited as helping Adolf Hitler's rise to power.",1,414
What is the translation of Siebengebirge?,"This ""Germanic Heroic Age"" is reflected in medieval legend, such as the Nibelungenlied which tells of the hero Siegfried killing a dragon on the Drachenfels (Siebengebirge) (""dragons rock""), near Bonn at the Rhine and of the Burgundians and their court at Worms, at the Rhine and Kriemhild's golden treasure, which was thrown into the Rhine by Hagen.",0,1333
What percentage of France's population is protestant today?,"Most are concentrated in Alsace in northeast France and the Cévennes mountain region in the south, who still regard themselves as Huguenots to this day.[citation needed]",1,2903
Where can the Treatise be found?,"Tesla published the document in an attempt to expound on the technical description of a ""superweapon that would put an end to all war.",1,2555
What was the number of customers that the BBC  reported had yet to receive the service due to failed deliveries?,"Prior to its launch, BSkyB claimed that 40,000 people had registered to receive the HD service.",1,771
bassett focuses on what to illustrate his idea?,"To better illustrate this idea, Bassett focuses his analysis of the role of nineteenth-century maps during the ""scramble for Africa"".",0,4968
The abolition of the Ottoman Caliphate is believed to have ended what system?,"This is believed to have ended the true Islamic system, something for which it blames ""the disbelieving (Kafir) colonial powers"" working through Turkish modernist Mustafa Kemal Atatürk.",0,623
"In addition to the traveling salesman problem, what is another example of a function problem?",Notable examples include the traveling salesman problem and the integer factorization problem.,0,168
How many total acres is Woodward Park?,"Now packed with amenities, Woodward Park is the only Regional Park of its size in the Central Valley.",1,1218
How did Luther describe his time in the order?,"He said, ""I lost touch with Christ the Savior and Comforter, and made of him the jailer and hangman of my poor soul.""",1,1298
Who was Kublai Khan's grandfather?,It was the khanate ruled by the successors of Möngke Khan after the division of the Mongol Empire.,1,1293
What astronomers is also a university alumni member?,"Nuclear physicist and researcher Stanton Friedman, who worked on some early projects involving nuclear-powered spacecraft propulsion systems, is also a graduate (M.Sc).",1,4942
Who hosted the bandstand show debuted on ABC in 1957?,"In 1957, ABC Entertainment president Ollie Treiz discovered that the locally produced variety show Bandstand had pulled very strong ratings in the Philadelphia market on WFIL-TV; Treiz ultimately negotiated a deal to take the show national, under the revised title American Bandstand; the show quickly became a social phenomenon by presenting new musical talent and dances to America's youth and helped make a star out of its host, Dick Clark.",0,4112
What is the delta in the Rhine delimited in the east by?,"The delta is delimited in the West by the Alter Rhein (""Old Rhine"") and in the East by a modern canalized section.",0,3427
Who makes formal appointment or dismissal decisions?,"Theoretically, Parliament also elects the Scottish Ministers who form the government of Scotland and sit in the Scottish cabinet, but such ministers are, in practice, appointed to their roles by the First Minister.",1,1888
Who was a prominent Huguenot in Holland?,"Some Huguenot descendants in the Netherlands may be noted by French family names, although they typically use Dutch given names.",1,4638
What does the sea monster with a female upper body hold in its claws?,The mermaid (syrenka) is Warsaw's symbol and can be found on statues throughout the city and on the city's coat of arms.,1,3700
Humans in tropical environments were considered what?,"For example, people living in tropical environments were seen as ""less civilized"" therefore justifying colonial control as a civilizing mission.",0,2751
About how many cubic meters of make-up water is used by a 700-megawatt coal-fired power plant for evaporative cooling hourly?,"Evaporative (wet) cooling towers use the rejected heat to evaporate water; this water is kept separate from the condensate, which circulates in a closed system and returns to the boiler.",1,3608
How much retail activity does the neighborhood have?,"The neighborhood has very little retail activity, aside from the area near Fresno Street and State Route 99 Freeway (Kearney Palm Shopping Center, built in the late 1990s) and small corner markets scattered throughout.",0,3856
Who was the famous Huguenot theologian and writer in London?,"Both before and after the 1708 passage of the Foreign Protestants Naturalization Act, an estimated 50,000 Protestant Walloons and Huguenots fled to England, with many moving on to Ireland and elsewhere.",1,366
Why did the university see a drop in applicants?,"In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.",0,810
What festival is held in October in Newcastle?,"In October, there is the Design Event festival—an annual festival providing the public with an opportunity to see work by regional, national and international designers.",0,4318
What forest is by Warsaw's southern border?,"Bielany Forest, located within the borders of Warsaw, is the remaining part of the Masovian Primeval Forest.",1,2094
Who is given credit for discovering geoglyphs along the Amazon River?,"The BBC's Unnatural Histories presented evidence that the Amazon rainforest, rather than being a pristine wilderness, has been shaped by man for at least 11,000 years through practices such as forest gardening and terra preta.",1,4135
To what may general global fields be transferred to or from?,"In particular, this norm gets smaller when a number is multiplied by p, in sharp contrast to the usual absolute value (also referred to as the infinite prime).",1,3548
what is Internet2,"In October, 2007, Internet2 officially retired Abilene and now refers to its new, higher capacity network as the Internet2 Network.",1,635
What city north of New York was settled by Huguenots?,"A small group of Huguenots also settled on the south shore of Staten Island along the New York Harbor, for which the current neighborhood of Huguenot was named.",1,1294
Why did he walk?,"He squished his toes one hundred times for each foot every night, saying that it stimulated his brain cells.",1,311
When did the age of Imperialism begin?,"Although imperialist practices have existed for thousands of years, the term ""Age of Imperialism"" generally refers to the activities of European powers from the early 18th century through to the middle of the 20th century, for example, the ""The Great Game"" in Persian lands, the ""Scramble for Africa"" and the ""Open Door Policy"" in China.",1,2991
From what pad was Apollo 5 launched from?,"Apollo 5 (AS-204) was the first unmanned test flight of LM in Earth orbit, launched from pad 37 on January 22, 1968, by the Saturn IB that would have been used for Apollo 1.",0,1480
What was the first picture released by ABC Pictures?,"That year, Roone Arledge was named president of ABC Sports; the company also founded ABC Pictures, a film production company which released its first picture that year, the Ralph Nelson-directed Charly.",0,5099
"Peroxides, nitrates and dichromates are examples of what type of compounds?","Oxygen is the oxidant, not the fuel, but nevertheless the source of most of the chemical energy released in combustion.",1,1229
What does the National Museum boast having from Adolf Hitler's private collection?,"As interesting examples of expositions the most notable are: the world's first Museum of Posters boasting one of the largest collections of art posters in the world, Museum of Hunting and Riding and the Railway Museum.",1,1314
Under which courts is most EU law applied?,"In fact, most EU law is applied by member state courts (the English Court of Appeal, the German Bundesgerichtshof, the Belgian Cour du travail, etc.)",0,2841
What did Paul-Louis Simond establish in 1898?,"The investigation of the pathogen that caused the 19th-century plague was begun by teams of scientists who visited Hong Kong in 1894, among whom was the French-Swiss bacteriologist Alexandre Yersin, after whom the pathogen was named Yersinia pestis.",1,979
How many natural reserves are in Warsaw?,"There are lot of small lakes in the parks, but only a few are permanent – the majority are emptied before winter to clean them of plants and sediments.",1,3623
What health company was a Super Bowl sponsor?,"For the first time, the Super Bowl 50 Host Committee and the NFL have openly sought disabled veteran and lesbian, gay, bisexual and transgender-owned businesses in Business Connect, the Super Bowl program that provides local companies with contracting opportunities in and around the Super Bowl.",1,1988
What tribe uses GPS devices to map lands?,"Using handheld GPS devices and programs like Google Earth, members of the Trio Tribe, who live in the rainforests of southern Suriname, map out their ancestral lands to help strengthen their territorial claims.",0,3429
Which British sculptor whose work include the Queen Victoria memorial in front of Buckingham Palace is included in the V&A collection?,A sample of some of these sculptors' work is on display in the British Galleries.,1,3776
Who was chairman of the House Science Committee?,"Sherwood Boehlert, chairman of the House Science Committee, said this was a ""misguided and illegitimate investigation"" apparently aimed at intimidating scientists, and at his request the U.S. National Academy of Sciences arranged for its National Research Council to set up a special investigation.",0,1684
What network uses a red version of the new ABC logo?,"The logo is displayed on-air, online and in print advertising in four variants shading the respective color used with the circle design's native black coloring: a gold version is primarily used on entertainment-oriented outlets (such as ABC.com, WATCH ABC, and by ABC Studios) and the on-screen bug; steel blue and dark grey versions are used primarily by ABC News; a red version is used for ESPN on ABC, while all four variants are used selectively in advertising and by affiliates.",0,2251
How long has the African Great Lakes region been inhabited?,"The borders of the modern state consequently comprise the crossroads of the Niger-Congo, Nilo-Saharan and Afroasiatic areas of the continent, representing most major ethnolinguistic groups found in Africa.",1,5211
Who may seek changes or exemptions in the law that governs the land where the building will be built?,Constructing a project that fails to adhere to codes does not benefit the owner.,1,690
Name a type of Toyota compact trucks?,"Compact trucks were introduced, such as the Toyota Hilux and the Datsun Truck, followed by the Mazda Truck (sold as the Ford Courier), and the Isuzu-built Chevrolet LUV.",0,4027
what did he do for $2 a day?,He even lost control of the patents he had generated since he had assigned them to the company in lieu of stock.,1,2274
What is Warsaw's symbol?,The mermaid (syrenka) is Warsaw's symbol and can be found on statues throughout the city and on the city's coat of arms.,0,1754
What was the Rhine considered to invaders in WWII?,Seven Days to the River Rhine was a Warsaw Pact war plan for an invasion of Western Europe during the Cold War.,1,3757
What is the name of the United Kingdom operation for BSkyB?,"The United Kingdom operations also changed the company name from British Sky Broadcasting Limited to Sky UK Limited, still trading as Sky.",0,4441
What globally popular half marathon began in 1981?,"It has hosted the world's most popular half marathon, the Great North Run, since it began in 1981.",0,3971
Who is Denver's defensive coordinator?,"Under defensive coordinator Wade Phillips, the Broncos' defense ranked number one in total yards allowed, passing yards allowed and sacks, and like the previous three seasons, the team has continued to set numerous individual, league and franchise records.",0,1667
Who brought together the former rivals at the signing ceremony?,"The world watched Annan and his UN-backed panel and African Union chairman Jakaya Kikwete as they brought together the former rivals to the signing ceremony, beamed live on national TV from the steps of Nairobi's Harambee House.",0,495
"When the election produced an SNP majority government, what was it the first occurrence of?",The SNP overall majority meant that there was sufficient support in the Scottish Parliament to hold a referendum on Scottish independence.,1,3691
What position did the tax collector that arrested Thoreau get?,"Thoreau, at the time of his arrest, was not yet a well-known author, and his arrest was not covered in any newspapers in the days, weeks and months after it happened.",1,1250
In what month and year was the AS-258 scheduled to launch?,"Its Saturn IB was allocated to the dual mission, now redesignated AS-205/208 or AS-258, planned for August 1967.",0,1648
"Along with geothermal and nuclear, what is a notable non-combustion heat source?","In the cycle, water is heated and transforms into steam within a boiler operating at a high pressure.",1,5060
When did Tugh Temur die?,"After El Temür's death, Bayan became as powerful an official as El Temür had been in the beginning of his long reign.",1,2793
Where does newly created wealth concentrate?,"process by which, under certain conditions, newly created wealth concentrates in the possession of already-wealthy individuals or entities.",0,1487
What is septicemia?,"In addition to the bubonic infection, others point to additional septicemic (a type of ""blood poisoning"") and pneumonic (an airborne plague that attacks the lungs before the rest of the body) forms of the plague, which lengthen the duration of outbreaks throughout the seasons and help account for its high mortality rate and additional recorded symptoms.",0,1337
When did British government give land for development of Ohio Country?,In 1749 the British government gave land to the Ohio Company of Virginia for the purpose of developing trade and settlements in the Ohio Country.,0,4704
A replica of what landmark was present at Super Bowl Opening Night?,"Alongside the traditional media availabilities, the event featured an opening ceremony with player introductions on a replica of the Golden Gate Bridge.",0,442
"Even in large firms, architects, interior designers, engineers, developers, construction managers, and general contractors were more likely to be what?","In the past, architects, interior designers, engineers, developers, construction managers, and general contractors were more likely to be entirely separate companies, even in the larger firms.",0,4538
Which two courts apply European Union law?,European Union law is applied by the courts of member states and the Court of Justice of the European Union.,0,441
"Under Elie Metchnikoff's cellular theory, what cells were responsible for immune response?","According to the cellular theory of immunity, represented in particular by Elie Metchnikoff, it was cells – more precisely, phagocytes – that were responsible for immune responses.",0,2038
What did Iqbal fear would weaken the spiritual foundations of Islam and Muslim society?,"In his travels to Egypt, Afghanistan, Palestine and Syria, he promoted ideas of greater Islamic political co-operation and unity, calling for the shedding of nationalist differences.",1,5389
What is the city centre of Warsaw called in Polish?,"Warsaw leads the region of East-Central Europe in foreign investment and in 2006, GDP growth met expectations with a level of 6.1%.",1,691
What was the resolution of the cameras used in the EyeVision 360 system?,"(An earlier version of EyeVision was last used in Super Bowl XXXV; for Super Bowl 50, the cameras were upgraded to 5K resolution.)",0,4595
Around roughly how many students enroll yearly in creative and performing arts classes?,Several thousand major and non-major undergraduates enroll annually in creative and performing arts classes.,0,1427
What is it called when there is an active attempt to overthrow a government or belief system?,"Non-revolutionary civil disobedience is a simple disobedience of laws on the grounds that they are judged ""wrong"" by an individual conscience, or as part of an effort to render certain laws ineffective, to cause their repeal, or to exert pressure to get one's political wishes on some other issue.",1,4139
What was added to the the church of St. Andrew in 1726?,"This older church would have been one of several churches along the River Tyne dedicated to St Andrew, including the Priory church at Hexham.",1,4408
What is the term for catching the motivation expressed by the teacher?,"Finally, the concept of emotional contagion, may also apply.",0,350
What was causing New France to have issues with resupplying?,"While many parties to the conflict blamed others (the Indians blamed the French for bringing ""bad medicine"" as well as denying them prizes at Fort William Henry), the disease was probably spread through the crowded conditions at William Henry after the battle.",1,5019
What is a complex net of contracts and other legal obligations?,"A construction project is a complex net of contracts and other legal obligations, each of which all parties must carefully consider.",0,3055
How frequent is snow in the Southwest of the state?,"But snow is very rare in the Southwest of the state, it occurs on the Southeast of the state.",0,2086
How many segments did the special originally have?,"An affectionate parody of the television series, it was split into four segments, mimicking the traditional serial format, complete with cliffhangers, and running down the same corridor several times when being chased (the version released on video was split into only two episodes).",0,3915
What is consultant pharmacy mainly concerned with?,"Traditionally consultant pharmacists were usually independent business owners, though in the United States many now work for several large pharmacy management companies (primarily Omnicare, Kindred Healthcare and PharMerica).",1,2332
What was the name of the play performed in the 1970's?,"Other original plays have been staged as amateur productions, with other actors playing the Doctor, while Terry Nation wrote The Curse of the Daleks, a stage play mounted in the late 1960s, but without the Doctor.",1,4126
What is the name associated with the eight areas that make up a part of southern California?,"Southern California consists of one Combined Statistical Area, eight Metropolitan Statistical Areas, one international metropolitan area, and multiple metropolitan divisions.",0,3559
What is another name for State Route 168?,"State Route 168, the Sierra Freeway, heads east to the city of Clovis and Huntington Lake.",0,3152
Who is given credit for discovering geoglyphs along the Amazon River?,Ondemar Dias is accredited with first discovering the geoglyphs in 1977 and Alceu Ranzi with furthering their discovery after flying over Acre.,0,1842
How was Tesla's mechanical oscillator powered?,Tesla invented a steam-powered mechanical oscillator—Tesla's oscillator.,0,648
Where was the practice place the Panthers used for the Super Bowl?,The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,1,1339
What is the Scottish Parliament currently in the fourth of?,"Subject Committees are established at the beginning of each parliamentary session, and again the members on each committee reflect the balance of parties across Parliament.",1,2729
What was the name for the new radio concept designed by Allen Shaw?,"The new concept called ""LOVE Radio"", which featured a limited selection of music genres, was launched on ABC's seven owned-and-operated FM stations in late November 1968; the concept replaced nearly all of the programming provided by these stations; however, several affiliates (such as KXYZ) retained the majority of their content.",0,2874
Whose former headquarters was the WSE located in until 2000?,"From 1991 until 2000, the stock exchange was, ironically, located in the building previously used as the headquarters of the Polish United Workers' Party (PZPR).",0,1479
What did the Industrial Revolution cause to happen to Newcastle?,This revolution resulted in the urbanization of the city.,0,1542
What have the Treaties sought to enable since its foundation?,"Free movement was increasingly based on ""citizenship"", so that people had rights to empower them to become economically and socially active, rather than economic activity being a precondition for rights.",1,629
Which tree species is planted in the two corners by the north facade?,"The design is a subtle blend of the traditional and modern, the layout is formal; there is an elliptical water feature lined in stone with steps around the edge which may be drained to use the area for receptions, gatherings or exhibition purposes.",1,1759
What was the most important governmental change to land tenure?,"The most important of these was the Swynnerton Plan, which was used to both reward loyalists and punish Mau Mau.",0,5267
What did Watt add to Newcomen's engine between 1763 and 1775?,Boulton and Watt's early engines used half as much coal as John Smeaton's improved version of Newcomen's.,1,3337
When could V&A Dundee?,"The V&A is in discussion with the University of Dundee, University of Abertay, Dundee City Council and the Scottish Government with a view to opening a new £43 million gallery in Dundee that would use the V&A brand although it would be funded through and operated independently.",1,5408
What are the stages in a compound engine called?,"These stages were called expansions, with double and triple expansion engines being common, especially in shipping where efficiency was important to reduce the weight of coal carried.",0,4214
Who edited Electrical World magazine?,"In 1888, the editor of Electrical World magazine, Thomas Commerford Martin (a friend and publicist), arranged for Tesla to demonstrate his alternating current system, including his induction motor, at the American Institute of Electrical Engineers (now IEEE).",0,2032
When did the Jin dynasty begin?,"During the Southern Song dynasty the descendant of Confucius at Qufu, the Duke Yansheng Kong Duanyou fled south with the Song Emperor to Quzhou, while the newly established Jin dynasty (1115–1234) in the north appointed Kong",0,4854
What other projectiles did Tesla compare the electric particles to?,"In comparing these particles with the bits of metal projected by his ""electric gun,"" Tesla said, ""The particles in the beam of force ... will travel much faster than such particles ... and they will travel in concentrations.""",0,2452
Where was the boat demonstration given?,"In 1898, Tesla demonstrated a radio-controlled boat—which he dubbed ""teleautomaton""—to the public during an electrical exhibition at Madison Square Garden.",0,1448
What are Ctenophora commonly known as?,Their most distinctive feature is the ‘combs’ – groups of cilia which they use for swimming – they are the largest animals that swim by means of cilia.,1,2278
What do some encrypted broadcasts require to view?,"To view the encrypted content a VideoGuard UK equipped receiver (all of which are dedicated to the Sky service, and cannot be used to decrypt other services) needs to be used.",1,3352
When was OPEC production of oil being surpassed?,"This ""sale"" price was a windfall for oil-importing nations, both developing and developed.",1,1092
Tumors that are able to evade the body's immune response can become what?,"In addition, immunological tolerance may develop against tumor antigens, so the immune system no longer attacks the tumor cells.",1,2873
Where did he begin teaching?,"He started teaching in Rotterdam, where he finished writing and publishing his multi-volume masterpiece, Historical and Critical Dictionary.",0,3837
What is the current number of electors currently in a Scottish Parliament constituency?,"The 73 Scottish Parliament constituencies shared the same boundaries as the UK Parliament constituencies in Scotland, prior to the 2005 reduction in the number of Scottish MPs, with the exception of Orkney and Shetland which each return their own constituency MSP.",1,5298
Who killed Harold II?,"In 1066, Duke William II of Normandy conquered England killing King Harold II at the Battle of Hastings.",0,5278
What do closed rivers serve as after they close?,"Currently Rhine water runs into the sea, or into former marine bays now separated from the sea, in five places, namely at the mouths of the Nieuwe Merwede, Nieuwe Waterway (Nieuwe Maas), Dordtse Kil, Spui and IJssel.",1,2207
"According to a 1955 review, what were savings by the wealthy thought to offset?",Some theories popular from the 1950s to 2011 incorrectly stated that inequality had a positive effect on economic development.,1,1658
Where is the Hyde Park Day School located?,"It operates the University of Chicago Laboratory Schools (a private day school for K-12 students and day care), the Sonia Shankman Orthogenic School (a residential treatment program for those with behavioral and emotional problems), and four public charter schools on the South Side of Chicago administered by the university's Urban Education Institute.",1,5224
Which Doctor Who-related song reached Number One in the UK?,"In 1988 the band The Justified Ancients of Mu Mu (later known as The KLF) released the single ""Doctorin' the Tardis"" under the name The Timelords, which reached No. 1 in the UK and No. 2 in Australia; this version incorporated several other songs, including ""Rock and Roll Part 2"" by Gary Glitter (who recorded vocals for some of the CD-single remix versions of ""Doctorin' the Tardis"").",0,479
What was the first international event broadcast by ABC?,Leonard Goldenson said that ABC's first international activity was broadcasting the coronation of Queen Elizabeth II in June 1953; CBS and NBC were unable to cover the coronation live due to respective issues with technical problems and flight delays.,0,2633
What did the initial first stages of the Saturn I tests carry?,"The last three of these further supported the Apollo program by also carrying Pegasus satellites, which verified the safety of the translunar environment by measuring the frequency and severity of micrometeorite impacts.",1,4903
How is Temüjin written in pinyin?,Temüjin is written in Chinese as simplified Chinese: 铁木真; traditional Chinese: 鐵木眞; pinyin: Tiěmùzhēn.,0,1775
What is Thomas B. Edsall's profession?,"The debate is summarized in ""The Hidden Prosperity of the Poor"" by journalist Thomas B. Edsall.",0,5403
What color are the numbers in the Super Bowl 50 logo?,"The logo also deviates from the template by featuring large numerals, colored in gold, behind the Vince Lombardi Trophy, instead of underneath and in silver as in the standard logo.",0,3402
In what city is the last Huguenot congregation in the US?,"The Society has chapters in numerous states, with the one in Texas being the largest.",1,1182
What does the outside of the Tardis resemble?,"The programme depicts the adventures of the Doctor, a Time Lord—a space and time-travelling humanoid alien.",1,4689
What did the V&A present in July 1973 as part of its youth outreach programme?,"In July 1973, as part of its outreach programme to young people, the V&A became the first museum in Britain to present a rock concert.",0,165
When did oil finally returned to its Bretton Woods levels?,The substantial price increases of 1973–1974 largely returned their prices and corresponding incomes to Bretton Woods levels in terms of commodities such as gold.,0,4115
In which year did the museum started charging free admission fees?,"Like other national British museums, entrance to the museum has been free since 2001.",0,3268
"Besides taking in boarders, how did Katharina help support the family?","Between bearing six children, Hans – June 1526; Elizabeth – 10 December 1527, who died within a few months; Magdalene – 1529, who died in Luther's arms in 1542; Martin – 1531; Paul – January 1533; and Margaret – 1534; Katharina helped the couple earn a living by farming the land and taking in boarders.",0,3176
When did Carl Wilhelm Scheele discover oxygen?,"Oxygen was discovered independently by Carl Wilhelm Scheele, in Uppsala, in 1773 or earlier, and Joseph Priestley in Wiltshire, in 1774, but Priestley is often given priority because his work was published first.",0,450
What are two anti-inflammatory molecules that peak during awake hours?,There are two theories as to why the pro-inflammatory state is reserved for sleep time.,1,1155
What could inverted repeats help do?,"It is possible that the inverted repeats help stabilize the rest of the chloroplast genome, as chloroplast DNAs which have lost some of the inverted repeat segments tend to get rearranged more.",0,4363
How many museums comprise Harvard Art Museums?,The Harvard Art Museums comprises three museums.,0,897
When did Europe slowly begin to warm up from the last Ice Age?,"As northwest Europe slowly began to warm up from 22,000 years ago onward, frozen subsoil and expanded alpine glaciers began to thaw and fall-winter snow covers melted in spring.",0,3299
How could human inequality be addressed without resulting in an increase of environmental damage?,"The smaller the economic inequality, the more waste and pollution is created, resulting in many cases, in more environmental degradation.",1,2687
What did Luther's degree in 1509 concern?,"He received a bachelor's degree in Biblical studies on 9 March 1508, and another bachelor's degree in the Sentences by Peter Lombard in 1509.",0,3067
What percentage of German students attended private schools in 2008?,Percent of students in private high schools reached 11.1%.,1,2834
What percentage of the U.S. population self-identify with UMC?,"In 2015, Pew Research estimated that 3.6% of the U.S population, or 9 million adult adherents, self-identify with the United Methodist Church revealing a much larger number of adherents than registered membership.",0,4187
How many Examination Boards exist in India?,"Prominent Examination Boards that are present in multiple states are the CBSE and the CISCE, NENBSE",1,1631
What did Biraben say about the plague in Europe?,"According to Geoffrey Parker, ""France alone lost almost a million people to the plague in the epidemic of 1628–31.""",1,301
What does the pleurobrachia have on opposite sides of its body?,"Some species of cydippids have bodies that are flattened to various extents, so that they are wider in the plane of the tentacles.",1,4919
Which country had trading posts in India before Britain?,In 1599 the British East India Company was established and was chartered by Queen Elizabeth in the following year.,1,4270
What type of manufacturing plant is Victoria soon losing?,"Holden's announcement occurred in May 2013, followed by Ford's decision in December of the same year (Ford's Victorian plants—in Broadmeadows and Geelong—will close in October 2016).",1,1901
Who did Tesla refuse to see following the accident?,"Tesla didn't raise any question as to who was at fault and refused medical aid, only asking to be taken to his hotel via cab.",1,1571
"When Iqbal promoted ideas of greater Islamic political unity, what did he encourage ending?","In his travels to Egypt, Afghanistan, Palestine and Syria, he promoted ideas of greater Islamic political co-operation and unity, calling for the shedding of nationalist differences.",0,5064
What was Warsaw ranked the 7th greatest of?,"It also has one of the fastest growing economies, with GDP growth at 6.5 percent in 2007 and 6.1 percent in the first quarter of 2008.",1,87
Who scored the Panthers first touchdown?,"After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive.",1,1071
Are there any other aviation communities such as Sierra Sky Park in the United States?,Sierra Sky Park was the first aviation community to be built[citation needed] and there are now numerous such communities across the United States and around the world.,0,4634
Do adults or juveniles secretions luminesce brighter?,"When some species, including Bathyctena chuni, Euplokamis stationis and Eurhamphaea vexilligera, are disturbed, they produce secretions (ink) that luminesce at much the same wavelengths as their bodies.",1,4979
What was the score for the 2015 NFC championship game?,"The Panthers then blew out the Arizona Cardinals in the NFC Championship Game, 49–15, racking up 487 yards and forcing seven turnovers.",0,5119
"What covered Scandinavia, the Baltics, Scotland, and the Alps in the last Ice Age?","A tundra, with Ice Age flora and fauna, stretched across middle Europe, from Asia to the Atlantic Ocean.",1,3440
"Informal imperialism is still dominant; however, less what?",""" Imperialism is particularly focused on the control that one group, often a state power, has on another group of people.",1,3107
What did mlolongo system lead to?,"The election held in 1988 saw the advent of the mlolongo (queuing) system, where voters were supposed to line up behind their favoured candidates instead of a secret ballot.",1,3909
In what conditions were forces first measured historically?,"Historically, forces were first quantitatively investigated in conditions of static equilibrium where several forces canceled each other out.",0,4743
Besides the radicals who else did Luther have to deal with?,"By working alongside the authorities to restore public order, he signalled his reinvention as a conservative force within the Reformation.",1,131
What channel did ABC proposed to compete with cable news company CNN?,"In order to compete with CNN, ABC proposed a 24-hour news channel called ABC Cable News, with plans to launch the network in 1995; however, the plan would ultimately be shelved by company management.",0,914
In what year did Fresno become an incorporated city?,"Soon there was a store around the station and the store grew the town of Fresno Station, later called Fresno.",1,1416
To what may general global fields be transferred to or from?,Certain arithmetic questions related to Q or more general global fields may be transferred back and forth to the completed (or local) fields.,0,2289
What three things are needed for construction to take place?,"Construction differs from manufacturing in that manufacturing typically involves mass production of similar items without a designated purchaser, while construction typically takes place on location for a known client.",1,2323
What class sizes can make keeping order difficult?,"In response, teachers may concentrate their attention on motivated students, ignoring attention-seeking and disruptive students.",1,1544
How many original treaties establishing the EU protected fundamental rights?,None of the original treaties establishing the European Union mention protection for fundamental rights.,0,826
Among whom was Genghis Khan's empire split after his death?,"Before Genghis Khan died, he assigned Ögedei Khan as his successor and split his empire into khanates among his sons and grandsons.",0,3040
Where did Apollo 1's crew conduct tests at Kennedy Space Center?,"Grissom, White, and Chaffee decided to name their flight Apollo 1 as a motivational focus on the first manned flight.",1,4141
What was the defeat of the Arab troops at the hand of the Israeli troops during the Six-Day War?,"The defeat along with economic stagnation in the defeated countries, was blamed on the secular Arab nationalism of the ruling regimes.",1,4479
In what decade were injectors widely used in steam engines?,"Injectors became popular in the 1850s but are no longer widely used, except in applications such as steam locomotives.",0,1654
What was the total number of homes Sky announced that had Sky+HD in March of 2012?,"On Thursday 18 May 2006, and continuing through the weekend before launch, people were reporting that BSkyB had either cancelled or rescheduled its installation.",1,1620
What caused UK to have an oil crisis in its own country?,"Despite being relatively unaffected by the embargo, the UK nonetheless faced an oil crisis of its own - a series of strikes by coal miners and railroad workers over the winter of 1973–74 became a major factor in the change of government.",0,2306
