question,passage,idx,label
does all of the us do daylight savings,"Daylight saving time in the United States -- Daylight saving time in the United States is the practice of setting the clock forward by one hour during the warmer part of the year, so that evenings have more daylight and mornings have less. Most areas of the United States observe daylight saving time (DST), the exceptions being Arizona (except for the Navajo, who do observe daylight saving time on tribal lands), Hawaii, and the overseas territories of American Samoa, Guam, the Northern Mariana Islands, Puerto Rico, and the United States Virgin Islands. The Uniform Time Act of 1966 established the system of uniform Daylight Saving Time throughout the US.",2439,0
does the lego hobbit game have all 3 movies,"Lego The Hobbit (video game) -- Lego The Hobbit is a Lego-themed action-adventure video game developed by Traveller's Tales. The game was released by Warner Bros. Interactive Entertainment on 8 April 2014 in North America, and 11 April in Europe. The game is a follow-up to Lego The Lord of the Rings based on the first two Hobbit films; An Unexpected Journey and The Desolation of Smaug. It was released on PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360, Xbox One, Wii U, Nintendo 3DS, OS X and Microsoft Windows.",2733,0
is the everglades the largest swamp in north america,"Everglades -- Though The Big Cypress is the largest growth of cypress swamps in South Florida, cypress swamps can be found near the Atlantic Coastal Ridge and between Lake Okeechobee and the Eastern flatwoods, as well as in sawgrass marshes. Cypresses are deciduous conifers that are uniquely adapted to thrive in flooded conditions, with buttressed trunks and root projections that protrude out of the water, called ``knees''. Bald cypress trees grow in formations with the tallest and thickest trunks in the center, rooted in the deepest peat. As the peat thins out, cypresses grow smaller and thinner, giving the small forest the appearance of a dome from the outside. They also grow in strands, slightly elevated on a ridge of limestone bordered on either side by sloughs. Other hardwood trees can be found in cypress domes, such as red maple, swamp bay, and pop ash. If cypresses are removed, the hardwoods take over, and the ecosystem is recategorized as a mixed swamp forest.",2115,0
is the ballroom at the top of the blackpool tower,"Blackpool Tower -- The top of the tower is currently known as the Blackpool Tower Eye. At a height of 380 feet (120 m), the Eye is the highest observation deck in North West England. It was previously known simply as the Tower Top, until it reopened on September 2011. Reopening after major renovation, new owner Blackpool Council brought in Merlin Entertainments to manage the attractions, with Merlin deciding to incorporate the tower into its range of ``Eye'' branded attractions.",2131,0
is new york in the new england region,"New England -- New England is a geographical region comprising six states of the northeastern United States: Maine, Vermont, New Hampshire, Massachusetts, Rhode Island, and Connecticut. It is bordered by the state of New York to the west and by the Canadian provinces of New Brunswick and Quebec to the northeast and north, respectively. The Atlantic Ocean is to the east and southeast, and Long Island Sound is to the south. Boston is New England's largest city as well as the capital of Massachusetts. The largest metropolitan area is Greater Boston, which also includes Worcester, Massachusetts (the second-largest city in New England), Manchester, New Hampshire (the largest city in New Hampshire), and Providence, Rhode Island (the capital and largest city of Rhode Island), with nearly a third of the entire region's population.",1092,0
is gdp per capita same as per capita income,"Per capita income -- Per capita income is often used c measure an area's average income. This is used to see the wealth of the population with those of others. Per capita income is often used to measure a country's standard of living. It is usually expressed in terms of a commonly used international currency such as the euro or United States dollar, and is useful because it is widely known, is easily calculable from readily available gross domestic product (GDP) and population estimates, and produces a useful statistic for comparison of wealth between sovereign territories. This helps to ascertain a country's development status. It is one of the three measures for calculating the Human Development Index of a country.",2289,0
are public limited companies in the private sector,"Public limited company -- A public limited company (legally abbreviated to plc) is a type of public company under the United Kingdom company law, some Commonwealth jurisdictions, and the Republic of Ireland. It is a limited liability company whose shares may be freely sold and traded to the public (although a plc may also be privately held, often by another plc), with a minimum share capital of £50,000 and usually with the letters PLC after its name. Similar companies in the United States are called publicly traded companies. Public limited companies will also have a separate legal identity.",122,0
is season 4 of better call saul out,"Better Call Saul (season 4) -- The fourth season of the American television drama series Better Call Saul premiered on August 6, 2018, and concluded on October 8, 2018. The fourth season consists of 10 episodes and aired on Mondays at 9:00 pm (Eastern) in the United States on AMC. Better Call Saul is a spin-off prequel of Breaking Bad created by Vince Gilligan and Peter Gould who also worked on Breaking Bad.",232,1
do you get a background check at a gun show,"Gun show loophole -- Gun show loophole is a political term in the United States referring to the sale of firearms by private sellers, including those done at gun shows, that are exempt from federal background check requirements. This is dubbed the private sale exemption or ``secondary market''.",2799,0
can you get a rash from using a hot tub,"Hot tub folliculitis -- This condition is caused by an infection of hair follicles due to the bacterium Pseudomonas aeruginosa. The bacterium is commonly found in hot tubs, water slides, and such places. Children are more prone to this because they usually stay in the water longer than adults. Hot tub folliculitis appears on the skin in the form of a rash, roughly resembling chicken pox and then develops further to appear as a pimple. Hot tub folliculitis can be extremely painful and/or itchy, and left alone without scratching will go away much more quickly. If the rash is aggravated, it can stay, worsen, and spread, lasting for months. By that time, it is much more difficult to treat. The dots usually go away after about 7 to 10 days but the condition leaves a hyperpigmented lesion that goes away after a few months.",930,1
is the national anthem and the star spangled banner the same thing,"The Star-Spangled Banner -- ``The Star-Spangled Banner'' is the national anthem of the United States. The lyrics come from ``Defence of Fort M'Henry'', a poem written on September 14, 1814, by the then 35-year-old lawyer and amateur poet Francis Scott Key after witnessing the bombardment of Fort McHenry by British ships of the Royal Navy in Baltimore Harbor during the Battle of Baltimore in the War of 1812. Key was inspired by the large U.S. flag, with 15 stars and 15 stripes, known as the Star-Spangled Banner, flying triumphantly above the fort during the U.S. victory.",1987,1
will private eyes be renewed for season 3,"Private Eyes (TV series) -- On September 21, 2017, Global ordered a 12 episode third season set to start production in spring 2018. Shooting has been underway, including at Queens Quay.",432,1
is pizza sauce and tomato sauce the same thing,"Tomato sauce -- Tomato-garlic sauce is prepared using tomatoes as a main ingredient, and is used in various cuisines and dishes. In Italian cuisine, alla pizzaiola refers to tomato-garlic sauce, which is used on pizza, pasta and meats.",776,0
can an american get a coat of arms,"United States heraldry -- Heraldry in the United States was first established by European settlers who brought with them the heraldic customs of their respective countries of origin. As the use of coats of arms may be seen as a custom of royalty and nobility, it had been debated whether the use of arms is reconcilable with American republican traditions. Families from English, Scottish, Irish, Welsh, German, and other European nations with a heraldic tradition have retained their familial coat of arms in the United States. Several ``founding fathers'' also employed personal arms and a great number of Americans continue to do so.",960,1
does a cow produce milk all the time,"Dairy cattle -- The dairy cow will produce large amounts of milk in its lifetime. Production levels peak at around 40 to 60 days after calving. Production declines steadily afterwards until milking is stopped at about 10 months. The cow is ``dried off'' for about sixty days before calving again. Within a 12 to 14-month inter-calving cycle, the milking period is about 305 days or 10 months long. Among many variables, certain breeds produce more milk than others within a range of around 6,800 to 17,000 kg (15,000 to 37,500 lbs) of milk per year.",2983,0
can u drive in canada with us license,American entry into Canada by land -- Persons driving into Canada must have their vehicle's registration document and proof of insurance.,8,1
can a person be a citizen of no country,"Statelessness -- In International law a stateless person is someone who is ``not considered as a national by any state under the operation of its law''. Some stateless persons are also refugees. However, not all refugees are stateless, and many persons who are stateless have never crossed an international border.",3134,1
is white castle only on the east coast,"White Castle (restaurant) -- White Castle is an American regional hamburger restaurant chain in the Midwestern and Mid-Atlantic regions of the United States. It has been generally credited as the country's first fast-food chain. It is known for its small, square hamburgers. Sometimes referred to as ``sliders'', the burgers were initially priced at five cents until 1929 and remained at ten cents until 1949. In the 1940s, White Castle periodically ran promotional ads in local newspapers which contained coupons offering five burgers for ten cents, takeout only.",1049,0
can hydrogen be used in a combustion engine,Hydrogen internal combustion engine vehicle -- A hydrogen internal combustion engine vehicle (HICEV) is a type of hydrogen vehicle using an internal combustion engine. Hydrogen internal combustion engine vehicles are different from hydrogen fuel cell vehicles (which use electrochemical conversion of hydrogen rather than combustion); the hydrogen internal combustion engine is simply a modified version of the traditional gasoline-powered internal combustion engine.,2374,1
are liquor stores in oklahoma open on 4th of july,"Alcohol laws of Oklahoma -- It is illegal to sell packaged liquor (off-premises sales) on Sundays. Sales also are prohibited on Memorial Day, Independence Day, Labor Day, Thanksgiving Day, and Christmas Day. Low-point beer for consumption off-premises may not be sold between 2:00 a.m. and 6:00 a.m.",3213,0
does the wnba play with a smaller ball,"Women's basketball -- The regulation WNBA ball is a minimum 28.5 inches (72.4 cm) in circumference, which is 1.00 inch (2.54 cm) smaller than the NBA ball. This is a standard size 6 ball. As of 2008, this size is used for all senior-level women's competitions worldwide.",1832,1
is the kentucky derby always on may 5th,"Kentucky Derby -- The Kentucky Derby /ˈdɜːrbi/, is a horse race that is held annually in Louisville, Kentucky, United States, on the first Saturday in May, capping the two-week-long Kentucky Derby Festival. The race is a Grade I stakes race for three-year-old Thoroughbreds at a distance of one and a quarter miles (2 km) at Churchill Downs. Colts and geldings carry 126 pounds (57 kilograms) and fillies 121 pounds (55 kilograms).",3051,0
can you keep doubling your bet on roulette,"Martingale (betting system) -- A martingale is any of a class of betting strategies that originated from and were popular in 18th century France. The simplest of these strategies was designed for a game in which the gambler wins his stake if a coin comes up heads and loses it if the coin comes up tails. The strategy had the gambler double his bet after every loss, so that the first win would recover all previous losses plus win a profit equal to the original stake. The martingale strategy has been applied to roulette as well, as the probability of hitting either red or black is close to 50%.",2305,1
can a passport card be used for domestic flights,"United States Passport Card -- The U.S. Passport Card is the de facto national identification card of the United States and a limited travel document issued by the federal government of the United States in the size of a credit card. Like a passport book, the passport card is only issued to U.S. citizens and U.S. nationals exclusively by the U.S. Department of State and is compliant to the standards for identity documents set by the REAL ID Act and can be used as proof of U.S. citizenship. The passport card's intended primary purpose is for identification and to allow cardholders to travel by domestic air flights within the United States and to enter or exit the United States via land and sea between member states of the Western Hemisphere Travel Initiative (WHTI). However, the passport card cannot be used for international air travel.",1835,1
can an american president run for 3 terms,"Twenty-second Amendment to the United States Constitution -- Section 1. No person shall be elected to the office of the President more than twice, and no person who has held the office of President, or acted as President, for more than two years of a term to which some other person was elected President shall be elected to the office of the President more than once. But this Article shall not apply to any person holding the office of President when this Article was proposed by the Congress, and shall not prevent any person who may be holding the office of President, or acting as President, during the term within which this article becomes operative from holding the office of President or acting as President during the remainder of such term.",507,0
is membranous nephropathy the same as membranous glomerulonephritis,"Membranous glomerulonephritis -- 85% of MGN cases are classified as primary membranous glomerulonephritis--that is to say, the cause of the disease is idiopathic (of unknown origin or cause). This can also be referred to as idiopathic membranous nephropathy. One study has identified antibodies to an M-type phospholipase A receptor in 70% (26 of 37) cases evaluated. Other studies have implicated neutral endopeptidase and cationic bovine serum albumin as antigens.",1473,1
is a cougar and a mountain lion the same,"Cougar -- The cougar (Puma concolor), also commonly known as the puma, mountain lion, panther or catamount, is a large felid of the subfamily Felinae native to the Americas. Its range, from the Canadian Yukon to the southern Andes of South America, is the widest of any large wild terrestrial mammal in the Western Hemisphere. An adaptable, generalist species, the cougar is found in most American habitat types. It is the biggest cat in North America, and the second-heaviest cat in the New World after the jaguar. Secretive and largely solitary by nature, the cougar is properly considered both nocturnal and crepuscular, although daytime sightings do occur. The cougar is more closely related to smaller felines, including the domestic cat (subfamily Felinae), than to any species of subfamily Pantherinae, of which only the jaguar is native to the Americas.",608,1
is american college of education accredited in new york,"American College of Education -- American College of Education is a regionally accredited, online college based in Indianapolis, Indiana, delivering online master's, doctorate and specialist degree programs, a bachelor's degree completion program, and graduate-level certificates in Education, Healthcare, and Nursing.",907,0
is taylor back on the bold and the beautiful,"Taylor Hayes (The Bold and the Beautiful) -- Taylor Hayes is a fictional character from the American CBS soap opera The Bold and the Beautiful, portrayed by Hunter Tylo. The character was created by William J. Bell and debuted during the episode dated June 6, 1990. Tylo appeared as a regular continuously until 1994 when she took a hiatus for a few months before being written back into the series. In 1996, she left the serial after being cast on Melrose Place, where she was soon fired on the grounds of being pregnant, and returned shortly after. In 2002, Tylo and the show's executive producer Bradley Bell had mutually agreed that the character was ``played out'', and Taylor was subsequently killed off, last appearing on October 30, 2002. Tylo returned in 2004, reprising Taylor as a ghost. She returned on a permanent basis in April 2005, with the character revealed to be alive. Tylo exited The Bold and the Beautiful again in July 2013, but returned for multiple guest appearances in 2014. She returned again in April 2018.",905,1
is bile supposed to be in the stomach,"Biliary reflux -- Bile is a digestive fluid made by the liver, stored in the gallbladder, and discharged into duodenum after food is ingested to aid in the digestion of fat. Normally, the pyloric sphincter prevents bile from entering the stomach. When the pyloric sphincter is damaged or fails to work correctly, bile can enter the stomach and then be transported into the esophagus as in gastric reflux. The presence of small amounts of bile in the stomach is relatively common and usually asymptomatic, but excessive refluxed bile causes irritation and inflammation.",1391,0
is a bagel with cream cheese a sandwich,"Bagel and cream cheese -- A bagel and cream cheese (also known as bagel with cream cheese) is a common food pairing in American cuisine, the cuisine of New York City, and American Jewish cuisine, consisting in its basic form of an open-faced sandwich made of a bagel spread with cream cheese. The bagel is typically sliced into two pieces, and can be served as-is or toasted. The basic bagel with cream cheese serves as the base for other sandwiches such as the ``lox and schmear'', a staple of delicatessens in the New York area, and across the U.S.",1792,1
is pasadena part of the san fernando valley,"San Fernando Valley -- Nearly two-thirds of the valley's land area is part of the city of Los Angeles. The other incorporated cities in the valley are Glendale, Burbank, San Fernando, Hidden Hills, Agoura Hills, and Calabasas.",3169,0
can i open carry without a permit in tennessee,"Gun laws in Tennessee -- Tennessee requires a permit to carry a firearm, whether openly or concealed. Additionally, per Tenn. Code Ann. 39-17-1351 r.(1) a facially valid handgun permit, firearms permit, weapons permit or license issued by another state shall be valid in this state (Tennessee) according to its terms and shall be treated as if it is a handgun permit issued by this state (Tennessee)).",2307,0
can you take a picture of anyone in public uk,"Photography and the law -- Following a prolonged campaign, including a series of demonstrations by photographers dealt with by police officers and PCSOs, the Metropolitan Police was forced to issue updated legal advice which confirms that ``Members of the public and the media do not need a permit to film or photograph in public places and police have no power to stop them filming or photographing incidents or police personnel'' and that ``The power to stop and search someone under Section 44 of the Terrorism Act 2000 no longer exists.''",2768,1
does the vatican city have its own laws,"Law of Vatican City -- The law of Vatican City State consists of many forms, the most important of which is the Fundamental Law of Vatican City State. The Code of Penal Procedure governs tribunals and the Lateran Treaty governs relations with the Republic of Italy.",1320,1
is a web server an example of a host,Web hosting service -- Internet hosting services can run Web servers. The scope of web hosting services varies greatly.,2457,1
is a ram and a lamb the same thing,"Sheep -- Domestic sheep (Ovis aries) are quadrupedal, ruminant mammal typically kept as livestock. Like most ruminants, sheep are members of the order Artiodactyla, the even-toed ungulates. Although the name sheep applies to many species in the genus Ovis, in everyday usage it almost always refers to Ovis aries. Numbering a little over one billion, domestic sheep are also the most numerous species of sheep. An adult female sheep is referred to as a ewe (/juː/), an intact male as a ram or occasionally a tup, a castrated male as a wether, and a younger sheep as a lamb.",515,0
is the esophagus in front of the heart,"Esophagus -- The esophagus (American English) or oesophagus (British English) (/ɪˈsɒfəɡəs/), commonly known as the food pipe or gullet (gut), is an organ in vertebrates through which food passes, aided by peristaltic contractions, from the pharynx to the stomach. The esophagus is a fibromuscular tube, about 25 centimetres long in adults, which travels behind the trachea and heart, passes through the diaphragm and empties into the uppermost region of the stomach. During swallowing, the epiglottis tilts backwards to prevent food from going down the larynx and lungs. The word esophagus is the Greek word οἰσοφάγος oisophagos, meaning ``gullet''.",1626,0
does damon and elena get together in season 3,"Damon Salvatore -- In the third season, Damon helps Elena in bringing his brother, Stefan, back to Mystic Falls after Stefan becomes Klaus' henchman. The arrangement transpired after a bargain for his blood that would cure Damon of the werewolf bite he had received from Tyler. At first, he is reluctant to involve Elena in the rescue attempts, employing Alaric Saltzman, Elena's guardian, instead as Klaus does not know that Elena is alive after the sacrifice which frees Klaus' hybrid side. However, Elena involves herself, desperate to find Stefan. Damon, though hesitant at first, is unable to refuse her because of his love for her. He also points out to her that she once turned back from finding Stefan since she knew Damon would be in danger, clearly showing that she also has feelings for him. He tells her that ``when (he) drag(s) (his) brother from the edge to deliver him back to (her), (he) wants her to remember the things (she) felt while he was gone.'' When Stefan finally returns to Mystic Falls, his attitude is different from that of the first and second seasons. This causes a rift between Elena and Stefan whereas the relationship between Damon and Elena becomes closer and more intimate. A still loyal Elena, however, refuses to admit her feelings for Damon. In 'Dangerous Liaisons', Elena, frustrated with her feelings for him, tells Damon that his love for her may be a problem, and that this could be causing all their troubles. This incenses Damon, causing him to revert to the uncaring and reckless Damon seen in the previous seasons. The rocky relationship between the two continues until the sexual tension hits the fan and in a moment of heated passion, Elena -- for the first time in the three seasons -- kisses Damon of her own accord. This kiss finally causes Elena to admit that she loves both brothers and realize that she must ultimately make her choice as her own ancestress, Katherine Pierce, who turned the brothers, once did. In assessment of her feelings for Damon, she states this: ``Damon just sort of snuck up on me. He got under my skin and no matter what I do, I can't shake him.'' In the season finale, a trip designed to get her to safety forces Elena to make her choice: to go to Damon and possibly see him one last time; or to go to Stefan and her friends and see them one last time. She chooses the latter when she calls Damon to tell him her decision. Damon, who is trying to stop Alaric, accepts what she says and she tells him that maybe if she had met Damon before she had met Stefan, her choice may have been different. This statement causes Damon to remember the first night he did meet Elena which was, in fact, the night her parents died - before she had met Stefan. Not wanting anyone to know he was in town and after giving her some advice about life and love, Damon compels her to forget. He remembers this as he fights Alaric and seems accepting of his death when Alaric, whose life line is tied to Elena's, suddenly collapses in his arms. Damon is grief-stricken, knowing that this means that Elena has also died and yells, ``No! You are not dead!'' A heartbroken Damon then goes to the hospital demanding to see Elena when the doctor, Meredith Fell, tells him that she gave Elena vampire blood. The last shot of the season finale episode shows Elena in transition.",55,0
does the us really have a designated survivor,"Designated survivor -- The practice of naming a designated survivor originated during the Cold War with its risk of nuclear attack. In 1947, the Presidential Succession Act established the line of succession and led to the continuity of government plan. In one special case the Housing and Urban Development Secretary Shaun Donovan was designated survivor for the 2010 State of the Union Address given by Barack Obama. At the same time Secretary of State Hillary Clinton was also absent from the address. However, Secret Service rules prevented Clinton from being named the designated survivor since it was public knowledge that she was at a conference in London during the event. Had a calamity occurred only in Washington and Clinton remained unharmed, she instead of Donovan would have become Acting President, as the Secretary of State is higher in the line of succession than the Housing and Urban Development Secretary.",3060,1
is it legal to sell human body parts,"Organ trade -- All other nations have some form of legislation meant to prevent the illegal trading of organs, whether by an outright ban or through legislation that limits how and by whom donations can be made. Many countries, including Belgium and France, use a system of presumed consent to increase the amount of legal organs available for transplant. . In the United States, federal law prohibits the sale of organs; however, the government has created initiatives to encourage organ gifting and to compensate those who freely donate their organs. In 2004, the state of Wisconsin began providing tax deductions to living donors.",2940,1
is me to we a non profit organization,"Me to We -- ME to WE is a socially conscious lifestyle brand, with half of its annual net profits donated to Free The Children, now known as WE Charity, and the other half reinvested to keep the social enterprise sustainable. The enterprise has been noted in Canadian media for setting new standards of governance in the social enterprise field.",3188,0
did indian football team qualified for fifa 2018,"India national football team -- India has never participated in the FIFA World Cup, although the team did qualify by default for the 1950 World Cup after all the other nations in their qualification group withdrew. However, India withdrew prior to the beginning of the tournament. The team has also appeared three times in the Asia's top football competition, the AFC Asian Cup. Their best result in the competition occurred in 1964 when the team finished as runners-up. India also participate in the SAFF Championship, the top regional football competition in South Asia. They have won the tournament six times since it began in 1993.",68,0
is new england baptist hospital a teaching hospital,New England Baptist Hospital -- The hospital is a teaching affiliate of both the University of Massachusetts Medical School and Tufts University School of Medicine. It also conducts teaching programs in collaboration with the Harvard T.H. Chan School of Public Health and the Harvard School of Medicine.,378,1
is there a season 5 of prison break,"Prison Break (season 5) -- The fifth season of Prison Break (also known as Prison Break: Resurrection) is a limited event television series and a revival of the original series created by Paul Scheuring that aired on Fox from 2005 to 2009. The season is produced by 20th Century Fox Television in association with Adelstein/Parouse Productions and Original Film. Paul Scheuring serves as showrunner, with himself, Marty Adelstein, Neal H. Moritz and Dawn Olmstead, Vaun Wilmott, Michael Horowitz and Nelson McCormick serving as executive producers. McCormick also serves as director. The season premiered on April 4, 2017, and concluded on May 30, 2017, consisting of 9 episodes.",1271,1
is a cocoa bean the same as a coffee bean,"Coffee bean -- A coffee bean is a seed of the coffee plant and the source for coffee. It is the pit inside the red or purple fruit often referred to as a cherry. Just like ordinary cherries, the coffee fruit is also a so-called stone fruit. Even though the coffee beans are seeds, they are referred to as ``beans'' because of their resemblance to true beans. The fruits -- coffee cherries or coffee berries -- most commonly contain two stones with their flat sides together. A small percentage of cherries contain a single seed, instead of the usual two. This is called a ``peaberry''. The peaberry occurs only between 10 and 15% of the time, and it is a fairly common (yet scientifically unproven) belief that they have more flavour than normal coffee beans. Like Brazil nuts (a seed) and white rice, coffee beans consist mostly of endosperm.",1334,0
did belgium used to be part of france,"History of Belgium -- Belgium's formation, like that of its Benelux neighbours, can be traced back to the ``Seventeen Provinces'' within the Burgundian Netherlands. These were brought together under the House of Valois-Burgundy, and was unified into one autonomous territory by the inheritor of that line Charles V, Holy Roman Emperor, in his Pragmatic Sanction of 1549. The Eighty Years' War (1568--1648) led to the split between a northern Dutch Republic and the Southern Netherlands from which Belgium and Luxembourg developed. This southern territory continued to be ruled by the Habsburg descendants of the Burgundian house, at first as the ``Spanish Netherlands''. Invasions from France under Louis XIV led to the loss of what is now Nord-Pas-de-Calais to France, while the remainder finally became the ``Austrian Netherlands''. The French Revolutionary wars led to Belgium becoming part of France in 1795, bringing the end of the semi-independence of areas which had belonged to the Catholic church. After the defeat of the French in 1814, a new United Kingdom of the Netherlands was created, which eventually split one more time during the Belgian Revolution of 1830--1839, giving three modern nations, Belgium, the Netherlands, and Luxembourg.",1721,1
is a pip the same as a basis point,"Basis point -- A basis point (often denoted as bp, often pronounced as ``bip'' or ``beep'') is (a difference of) one hundredth of a percent or equivalently one ten thousandth. The related concept of a permyriad is literally one part per ten thousand. Figures are commonly quoted in basis points in finance, especially in fixed income markets.",2870,0
is the dark knight a sequel to batman begins,"The Dark Knight (film) -- The Dark Knight is a 2008 superhero film directed, produced, and co-written by Christopher Nolan. Featuring the DC Comics character Batman, the film is the second part of Nolan's The Dark Knight Trilogy and a sequel to 2005's Batman Begins, starring an ensemble cast including Christian Bale, Michael Caine, Heath Ledger, Gary Oldman, Aaron Eckhart, Maggie Gyllenhaal and Morgan Freeman. In the film, Bruce Wayne / Batman (Bale), Police Lieutenant James Gordon (Oldman) and District Attorney Harvey Dent (Eckhart) form an alliance to dismantle organized crime in Gotham City, but are menaced by an anarchist mastermind known as the Joker (Ledger), who seeks to undermine Batman's influence and create chaos.",2198,1
is an access course classed as higher education,"Access to Higher Education -- Access courses are generally tailored as pathways; that is, they prepare students with the necessary skills and imbue the appropriate knowledge required for a specific undergraduate career. For example, there are 'access to law', 'access to medicine' and 'access to nursing' pathways that prepare students to study law, medicine and nursing at undergraduate level, respectively.",1592,0
can you run on a caught foul ball,"Tag up -- In baseball, to tag up is for a baserunner to retouch or remain on their starting base (the time-of-pitch base) until (after) the ball either lands in fair territory or is first touched by a fielder. By rule, baserunners must tag up when a fly ball is caught in flight by a fielder. After a legal tag up, runners are free to attempt to advance, even if the ball was caught in foul territory. On long fly ball outs, runners can often gain a base; when a runner scores by these means, this is called a sacrifice fly. On short fly balls, runners seldom attempt to advance after tagging up, due to the high risk of being thrown out.",1407,1
did eric clapton play while my guitar gently weeps,"While My Guitar Gently Weeps -- ``While My Guitar Gently Weeps'' is a song by the English rock band the Beatles from their 1968 double album The Beatles (also known as ``the White Album''). It was written by George Harrison, the band's lead guitarist. The song serves as a comment on the disharmony within the Beatles following their return from studying Transcendental Meditation in India in early 1968. This lack of camaraderie was reflected in the band's initial apathy towards the composition, which Harrison countered by inviting his friend and occasional collaborator, Eric Clapton, to contribute to the recording. Clapton overdubbed a lead guitar part, although he was not formally credited for his contribution.",418,1
is there going to be a second part of infinity war,"Untitled Avengers film -- The untitled Avengers film, colloquially referred to as Avengers 4, is an upcoming American superhero film based on the Marvel Comics superhero team the Avengers, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is intended to be the direct sequel to 2018's Avengers: Infinity War, as well as the sequel to 2012's Marvel's The Avengers and 2015's Avengers: Age of Ultron and the twenty-second film in the Marvel Cinematic Universe (MCU). The film is directed by Anthony and Joe Russo, with a screenplay by the writing team of Christopher Markus and Stephen McFeely, and features an ensemble cast with many actors from previous MCU films.",3094,1
is america the only country with an electoral college,"Electoral college -- Other countries with electoral college systems include Burundi, Estonia, Kazakhstan, Madagascar, Myanmar, Pakistan, Trinidad and Tobago and Vanuatu. Both the French Senate and the Seanad Éireann (Senate) in Ireland are chosen by electoral colleges. Within China, both Macau and Hong Kong each have an Election Committee which functions as an electoral college for selecting the Chief Executive and formerly (in the case of Hong Kong) for selecting some of the seats of the Legislative Council.",924,0
is kingda ka the biggest roller coaster in the world,"Kingda Ka -- Kingda Ka is a steel accelerator roller coaster located at Six Flags Great Adventure in Jackson, New Jersey. It is the world's tallest roller coaster, the world's second fastest roller coaster, and was the second strata coaster ever built. It was built by Stakotra, a subcontractor to Intamin. Riders have to be 54'' in order to be able to get on the roller coaster.",2569,1
do you have to pay for tvnz on demand,"TVNZ OnDemand -- Content streamed though TVNZ OnDemand was previously charged for. All content is now free, ad-supported, with advertisements being shown before, during and after videos.",1430,0
was the color purple based on a true story,The Color Purple -- The Color Purple is a 1982 epistolary novel by American author Alice Walker which won the 1983 Pulitzer Prize for Fiction and the National Book Award for Fiction. It was later adapted into a film and musical of the same name.,367,0
can you eat the black things in bubble tea,"Bubble tea -- Tapioca balls (boba) are the prevailing chewy tidbits in bubble tea, but a wide range of other options can be used to add similar texture to the drink. These are usually black due to the brown sugar mixed in with the tapioca. Green pearls have a small hint of green tea flavor and are chewier than the traditional tapioca balls. Jelly comes different shapes: small cubes, stars, or rectangular strips, and flavors such as coconut jelly, konjac, lychee, grass jelly, mango, coffee and green tea available at some shops. Azuki bean or mung bean paste, typical toppings for Taiwanese shaved ice desserts, give the drinks an added subtle flavor as well as texture. Aloe, egg pudding (custard), and sago can be found in most tea houses.",459,1
are babies born with 2 sets of teeth,"Human tooth -- Tooth development is the complex process by which teeth form from embryonic cells, grow, and erupt into the mouth. Although many diverse species have teeth, their development is largely the same as in humans. For human teeth to have a healthy oral environment, enamel, dentin, cementum, and the periodontium must all develop during appropriate stages of fetal development. Primary teeth start to form in the development of the embryo between the sixth and eighth weeks, and permanent teeth begin to form in the twentieth week. If teeth do not start to develop at or near these times, they will not develop at all.",2937,1
is coast guard part of the armed forces,"United States Coast Guard -- The United States Coast Guard (USCG) is a branch of the United States Armed Forces and one of the country's seven uniformed services. The Coast Guard is a maritime, military, multi-mission service unique among the U.S. military branches for having a maritime law enforcement mission (with jurisdiction in both domestic and international waters) and a federal regulatory agency mission as part of its mission set. It operates under the U.S. Department of Homeland Security during peacetime, and can be transferred to the U.S. Department of the Navy by the U.S. President at any time, or by the U.S. Congress during times of war. This has happened twice, in 1917, during World War I, and in 1941, during World War II.",2292,1
are billy and nora from the thundermans twins,"List of The Thundermans characters -- Billy Thunderman (Diego Velazquez) is the third-born Thunderman child. He is an energetic little brother to Phoebe and Max and older brother to Nora and Chloe. His superpower is super-speed. In one episode, it was revealed that Barb gave birth to Billy in the air while her husband was transporting her to a hospital, implying that Billy likely hit his head after birth, which is probably why he is sometimes unintelligent.",752,0
is american and australian sign language the same,"Auslan -- In more recent times Auslan has seen a significant amount of lexical borrowing from American Sign Language (ASL), especially in signs for technical terms. Some of these arose from the signed English educational philosophies of the 1970s and 80s, when a committee looking for signs with direct equivalence to English words found them in ASL and/or in invented English-based signed systems used in North America and introduced them in the classroom. ASL contains many signs initialised from an alphabet which was also derived from LSF, and Auslan users, already familiar with the related ISL alphabet, accepted many of the new signs easily.",3195,0
