premise,hypothesis,idx,label
"Miles of Australia's most pristine coastline have been declared a disaster zone following a large oil spill from a storm-damaged cargo ship. At least 60 kilometres of Queensland's southeastern shore were contaminated when at least 42 tonnes of oil spilled into the ocean from MV Pacific Adventurer on Wednesday night.  The ship, which had sailed into cyclonic weather, lost 31 containers aboard, one of which pierced the ship's hull and a fuel tank.  Anna Bligh, the Queensland premier, has declared Moreton Island, Bribie Island and southern parts of the Sunshine Coast disaster zones.","MV Pacific Adventurer has lost oil in the area of Moreton Island, Bribie Island and southern parts of the Sunshine Coast.",355,0
"Yemen, too, was reunified in 1990.",Yemen was reunited in 1990.,231,0
"A joint survey by two conservation groups, World Conservation Union and the World Wildlife Fund, says the black rhino population has risen to over 3,600. That is an increase of 500 animals over the last two years.",Two conservation groups have increased the black rhino population.,199,1
"The Hubble is a scientific workhorse in the prime of its life. It is also the privileged photographer of the universe. Whether the images are of solar systems at birth, galaxies colliding, or the death throes of a star in supernova, Hubble's photos reveal both the ferocity and tranquillity of our universe.",Hubble is a Space telescope.,1768,1
PERSPECTIVE ON BOSNIA; A BALKANS PEACE THAT CANNOT LAST,Bosnia is located in the former Yugoslavia.,190,1
"Dr Wood led a courageous and committed team in the fight to save 28 patients suffering from between two and 92 per cent body burns, deadly infections and delayed shock. As well as receiving much praise from both her own patients and the media, she also attracted controversy among other burns surgeons due to the fact that spray-on skin had not yet been subjected to clinical trials.",Burns surgeons approve Dr Wood's spray-on skin.,1475,1
"The biggest newspaper in Norway, Verdens Gang, prints a letter to the editor written by Joe Harrington and myself.",Verdens Gang is a Norwegian newspaper.,211,0
"According to NC Articles of Organization, the members of LLC company are H. Nelson Beavers, III, H. Chester Beavers and Jennie Beavers Stewart.",Jennie Beavers Stewart is a share-holder of Carolina Analytical Laboratory.,269,1
"Note that SBB, CFF and FFS stand out for the main railway company, in German, French and Italian.",The French railway company is called SNCF.,138,1
"Anastasia, in the village of Nagutskoye, had a neighbor who gave birth in 1914 to Yuri Andropov: KGB chief and persecutor of Anastasia's nephew, Alexander Solzhenitsyn.",Alexander Solzhenitsyn's wife's name is Anastasia.,1736,1
"Up to 150 workers were believed to have been inside the factory, which produces syringes and other plastic medical supplies, at the time of the explosion.",Workers were inside the plant at the time of the explosion.,239,0
"That request is at odds with the law signed early yesterday, by Bush, directing the federal courts to consider the case de novo without taking into account the state court's findings.",Bush pushed the issue to federal courts.,414,0
"The actor's publicists confirmed that Mr Willis, who celebrated his 54th birthday on Thursday, married 30-year-old Emma Heming in a private ceremony in his home in the Caribbean archipelago of Turks and Caicos Islands.  Ms Heming was born in Malta, but was raised in London. She has been a lingerie model for Victoria's Secret and La Senza.  The couple met through mutual friends around a year ago. The marriage is Ms Heming's first and Mr Willis' second. The actor's first wife, actress Demi Moore, was among the guests at the wedding.  Comments (0)  .",Mr. Willis' second wife is from Malta.,1884,0
"A force majeure is an act of God, said attorney Phil Wittmann, who represents the New Orleans Saints and owner Tom Benson's local interests.",New Orleans Saints are property of Tom Benson.,2321,0
About half were along a 20-mile stretch of Santa Monica Bay from Topanga Canyon Boulevard to the Palos Verdes Peninsula.,The coastline of Santa Monica Bay is 50 miles long.,179,1
Protest votes as citizens of the 25 EU nations punished their governments for everything from high unemployment to involvement in Iraq.,EU nations' citizens protest against punishment for unemployment.,412,1
"The first half of 1997 has been a year of considerable progress for East Timor in the international arena. In April, a majority of members of the UN Commission on Human Rights voted in support of a strong resolution on East Timor, criticising the Indonesian government for its lack of progress on human rights in East Timor and calling for concrete steps to be taken to address the continuing violations.",Guerrillas increase activity in East Timor.,980,1
"WINNENDEN, Germany ―A teenage gunman killed 15 people, most of them female, on Wednesday in a rampage that began at a school near Stuttgart in southern Germany and ended in a nearby town, where he then killed himself after the police wounded him. The attack left Germany, which tightened tough gun controls after a similar attack at a school seven years ago, struggling to understand the carnage that had again befallen it, a country with relatively little violent crime. In 2002, a gunman killed 16 people before killing himself at a school in Erfurt, in eastern Germany.",A teenager shot 15 people in Germany.,1594,0
"In a move reminiscent for some of another actor, Ronald Reagan, who was twice elected governor of California, Schwarzenegger said he would be putting his movie career on hold so he can devote his time to running for governor.",Schwarzenegger was elected governor of California.,815,1
"It rewrites the rules of global trade, established by the General Agreement on Tariffs and Trade, or GATT, in 1947, and modified in multiple rounds of negotiations since then.",GATT was formed in 1947.,58,1
"Carelessness by contractors is a common cause of fire, including many fires that result in serious financial loss. It has been estimated that perhaps 20-25% of all non-domestic fires result from 'on-going work', such as refurbishment, repair and construction.",Domestic fires are the major cause of fire death.,2007,1
"The report faults intelligence agencies for a ""lack of imagination"" in not anticipating that al Qaeda could attack the United States using hijacked aircraft.",The report blames intelligence agencies.,1636,0
"Michaela Roeder, 31, was found guilty of six counts of manslaughter and mercy killing.",A German nurse was convicted of manslaughter and mercy killing of patients by lethal injection.,1248,1
"Brazil, Australia and Thailand argued that the EU, one of the world's largest exporters, broke WTO farm rules by exceeding limits on export subsidies laid down under WTO's 1994 Agreement on Agriculture.","The three countries argued that UE, one of the greater exporter of the world, infringed the rules of the OMC when exceeding the limit of the subsidies to the exports indicated under the Agreement on Agriculture of the OMC in 1994.",986,1
"Quite simply, Tsutomu Yamaguchi is one of the luckiest men in the world. This slight 93-year-old with white hair, who is now largely confined to a wheelchair, was formally recognised last week as one of the tiny handful of people to have survived not one but both of the American atomic bombs dropped on the Japanese cities of Hiroshima and Nagasaki in August 1945 - bringing to an end to World War II. Known in Japan as one of the hibakusha - literally 'the explosionaffected people' - Mr Yamaguchi had long been recognised as a survivor of the nuclear explosion in his home town of Nagasaki.",Yamaguchi survived two atomic bombings.,1090,0
"The surge in violence has occurred while U.S. Marines and Iraqi troops battle insurgents near Karabilah on the Syrian border. British and American warplanes pounded targets to support a 1,000 Marine force. A Marine statement also said patrols in the devastated city of Fallujah came under attack Sunday. According to the statement, 15 insurgents were killed while the attack was repulsed.",Fallujah is not far from Karabilah.,769,1
Joe Friday wore badge No. 714-in honor of the number of home runs Ruth hit in his career.,Ruth hit 714 home runs in his lifetime.,824,0
"95% of the Gulf of Mexico's oil output is now out of service following Katrina, together with more than 83% of natural gas production.","Crude oil prices have hit fresh highs as fears grow over the extent of damage, done by Hurricane Katrina, to oil output in the Gulf of Mexico.",115,1
"Martha Stewart, 64, is back, after serving five months in a West Virginia federal prison for lying about a 2001 stock sale.",Martha Stewart was convicted of lying about a stock trade and served five months in prison.,1380,0
"Arsenal sneaked a 1-0 victory over Birmingham at Highbury, taking advantage of Stephen Clemence's own-goal in the 81st minute.",Arsenal lost to Birmingham.,2224,1
"The number of Danes opposed to swapping the krone for the euro has increased slightly to 35.3 percent, up from 34.6 percent in April, according to a poll published on Thursday by Danske Bank.",The introduction of the euro has been opposed.,189,0
"The original spelling reform of 1996, which was meant to harmonize the spelling rules across the German-speaking countries, turned out to be a major embarrassment if not outright failure.",A spelling reform was approved in all German speaking countries.,1190,0
"U.S. forces have been engaged in intense fighting after insurgents launched simultaneous attacks in several Iraqi cities, including Fallujah and Baqubah.",Fallujah and Baqubah are Iraqi cities.,27,0
"Scott Island was discovered and landed upon in December 1902 by Captain William Colbeck commander of the Morning, relief ship for Capt. Robert F. Scott's expedition.",Capt. Scott reached Scott Island in December 1902.,1194,1
"The San Diego Padres ace, Jake Peavy, was hurt in an 8-5 loss to the St. Louis Cardinals.",The San Diego Padres won the game against the St. Louis Cardinals.,25,1
"That film wasn't too successful, but then 'WarGames,' which was successful, came out right when I won the Tony for 'Brighton Beach' in 1983.","The film ""WarGames"" was shot in 1983.",2164,1
"The incident in Mogadishu, the Somali capital, came as U.S. forces began the  final phase of their promised March 31 pullout.",The capital of Somalia is Mogadishu.,2324,0
"Meanwhile, the inquiries spearheaded by Milan magistrates Antonio di Pietro and Gherardo Colombo began to focus on Italy's private and public business sectors.",Antonio di Pietro is a magistrate.,1921,0
"Superintendent Frank Goodyer, who was caught by his own officers in the Wagga Wagga Local Area Command, was charged with driving at more than 45km/h over the speed limit, had his automatically license suspended for six months and fined A$1674. It was reported by Sydney radio station 2GB that it was Superintendent Frank Goodyer as the officer who was caught speeding by his own officers after the New South Wales Police released a media release which did not name the officer who was caught.",Frank Goodyer was caught driving over the speed limit.,2285,0
"Anita Page, an MGM actress who appeared in films with Lon Chaney, Joan Crawford and Buster Keaton during the transition from silent movies to talkies, has died at the age of 98. Page died in her sleep early Saturday morning at her home in Los Angeles, said actor Randal Malone, her longtime friend. Page was born Anita Pomeres on August 4, 1910 in Flushing, New York. She was the leading lady to Lon Chaney, Buster Keaton, Robert Montgomery, and Clark Gable (among others), and during the early 1930s was one of Hollywood's busiest actresses, as well as being romantically involved with Gable. At the height of her popularity, she was receiving more fan mail than any other female star, with the exception of Greta Garbo, and received multiple marriage proposals from Italian Prime Minister Benito Mussolini in the mail.",Clark Gable dated Anita Page.,1609,0
"A suicide attack is an attack in which the attacker or attackers intend to kill others and intend to die in the process (see suicide). In a suicide attack in the strict sense the attacker dies by the attack itself, for example in an explosion or crash caused by the attacker.",People were killed in Tamil suicide attacks.,1460,1
"President Bush returned to the Mountain State to celebrate Independence Day, telling a spirited crowd yesterday that on its 228th birthday the nation is ""moving forward with confidence and strength.""",Independence Day was a popular movie.,900,1
"The first kibbutz, Deganya, near the Sea of Galilee, was founded in 1910.",The first kibbutz was founded near the Sea of Galilee.,909,0
"Former Prime Minister Rafik Hariri, also a prominent anti-Syria political figure, was killed in a suicide bombing in February last year, which led to rising anti-Syrian waves and the withdrawal of Syrian troops from Lebanon.",Syrian troops have been withdrawn from Lebanon after the murder of Rafik Hariri.,1553,0
"Investigators described the gunman as white, about 30 years old, of medium build with shoulder-length, wavy blond hair and as having a ""scruffy"" or ""grunge"" appearance.","The gunman is described as a white male in his 30s with a medium build, shoulder-length blonde hair and an unkempt appearance.",278,0
One reason for increased osteoporosis in developed countries is the sodium-potassium imbalance.,Dietary intake of potassium prevents osteoporosis.,251,1
"Miller died Thursday night, of congestive heart failure, at his home in Roxbury, Conn., surrounded by his family, his assistant, Julia Bolus, said Friday.","Miller died Thursday night, of heart failure, surrounded by family members.",204,0
"Wikipedia founder Jimmy Wales has been accused of editing pages in the encyclopedia in return for a donation to the Wikimedia  Foundation. In an article published Tuesday, the Sydney Morning Herald reported that former Novell computer scientist Jeff Merkey alleged Wales had made  edits to his article on his behalf, in exchange for a donation to the Wikimedia Foundation. The news hit the website Slashdot later Tuesday, where the incident was dubbed ""DonorGate"".",Readers of online encyclopedias can edit the contents.,1027,1
The law once required settlers to clear 80% of their land in two years to win ownership.,"Before the late 1980's some nations even gave land and tax credit to individuals and companies slashing, burning, and exploiting the forest.",2168,1
"Mr Fitzgerald revealed he was one of several top officials who told Mr Libby in June 2003 that Valerie Plame, wife of the former ambassador Joseph Wilson, worked for the CIA.",Joseph Wilson is Valerie Plame's ex-husband.,1987,1
"Colarusso, the Dover police captain, said authorities are interested in whether their suspect made a cell phone call while he was in the Dover woman's home.",Colarusso works for Dover police.,324,0
"High dietary intake of potassium from fruits and vegetables throughout one's life helps to preserve bone mass, thereby preventing bone loss that can lead to osteoporosis.",Dietary intake of potassium prevents osteoporosis.,253,0
"Two 8-year-old girls in Orlando, Florida, located in the United States have made a big donation to the research and curing of breast cancer. Victoria Petrucelly and Jesse Theobald along with classmates from their third grade class at The Christ School, raised almost US$24,000 by setting up lemonade stands and selling pink lemonade. The two girls were thinking about starting the lemonade stand in 2008, but were inspired to donate money when Petrucelly's mother, who suffered from the disease, died on Valentine's Day, February 14.",Victoria Petrucelly is a student from the Christ School.,1588,0
The Golden Flyers set a school record this year with 16 victories.,The Golden Flyers set a school record with 16 victories.,1255,0
French police recovered five masterpieces stolen from Paris Museum last Summer including a small work by Renoir.,"Five masterpieces, including a Renoir, were recovered when the thief confessed.",1445,1
"The United Kingdom, Turkey, ""Old"" British commonwealth forces ( New Zealand, Aussies, Canadians, Gurkhas, India), Germany, Poland, Vietnam, some units from USA, Russia, France, China (but only some) Japan would be included but I'm uncomfortable about using the word respected for Japanese soldiers for obvious reasons.",The Gurkhas come from Nepal.,61,1
The Croatian intent is even more problematic because the border between Slovenian and Croatian territorial waters has not yet been established. The dispute about this border began in 1991 when both countries became independent.,There is a territorial waters dispute.,263,0
"A Russian Soyuz spacecraft docked with the International Space Station, after a two-day flight from the Baikonur Cosmodrome in Kazakhstan.",Soyuz spacecraft were built by Russia.,1655,0
IBM is now at the top of my list of where I want to work. Ivy alone had nine interviews when the team visited the company's headquarters in Armonk last week.,IBM's has its headquarters in Armonk.,840,0
"Some of the buildings around the city square in the Kota also date from colonial times, including the old city hall ( 1710 ), which has been restored and now serves as the municipal museum.","In the Old City are the old port, the Dutch town hall, and a square.",1988,1
"We present a novel approach to enhance avalanche companion rescue using wearable sensing technologies. The time to find and extricate victims is most crucial: once buried by an avalanche, survival chances drop dramatically already after the first 15 minutes.",Robots are used to find avalanche victims.,1312,1
"They were killed on the same day, in the same way. One of the deaths captured the attention of a city and spurred the Los Angeles Police Department into overdrive. The other slipped by unnoticed, leaving a lone detective with little more to go on than hope. Adrianna Bachan died first. Shortly after 3 a.m. March 29, Bachan, 18, and a friend stood at the intersection of Jefferson Boulevard and Hoover Street on the edge of the USC campus. Returning home after a night out, the two students stepped into the crosswalk and started across Jefferson.",Adrianna Bachan lived in the USC campus.,1300,1
"Privacy lawyers are waiting with bated breath to see what the privacy commissioner has to say about this, because it has implications far beyond Google Street View, Bowman said. ""I think we're really at the beginning of this story, not the end."" Canada's privacy laws require that a person being photographed give their consent to the pictures being published unless they are being taken for journalistic, literary or artistic purposes. However, in post-production, Google now subjects all photos to an automated process of blurring people's faces and licence plates. In addition, anyone can request specific images be removed from the site. ""The privacy concerns could be pretty severe for some and people can still be identified, even with faces blurred out,"" Bowman said. ""I'm not sure how Google is rationalizing compliance with Canadian law by service providers who are taking the pictures here.""",Google is subjected to Canadian law.,2312,1
"California Gov. Arnold Schwarzenegger (R) on Friday signed five bills into law that allow California to receive more than $17.5 billion in federal economic stimulus aid, but the funding will not be enough for the state to avoid $3 billion in tax increases and cuts to services to balance its budget, the San Francisco Chronicle reports. The legislation changes eligibility reporting requirements for children enrolled in Medi-Cal and allows more people to qualify for unemployment insurance and extends the benefit by 20 weeks. Medi-Cal is the state's Medicaid program.",Arnold Schwarzenegger is Austrian.,2072,1
"Rod Blagojevich, the former governor of the US state of Illinois, was indicted on Thursday on charges of corruption for allegedly planning to ""sell"" Barack Obama's Senate seat when the latter vacated it to become President. Five of his advisers, including Blagojevich's brother Robert, were also indicted. The others are former fundraiser, Christopher Kelly, former chief of staff John Harris, former aide Lon Monk, and the lobbyist William Cellini.",Rod Blagojevich has been appointed as the US President.,2451,1
"The drive towards this new law was driven in part from a string of transport-related disasters in the late 1980s, such as the sinking of cross-Channel ferry the Herald of Free Enterprise in 1987, the oil platform Piper Alpha disaster in 1988, and the Marchioness Thames river boat collision in 1989. More than 400 people lost their lives in these three disasters, but no one individual or organisation was brought to account.",100 or more people lost their lives in a ferry sinking.,668,1
Blair has sympathy for anyone who has lost their lives in Iraq.,Blair is sorry for anyone who has lost their lives in Iraq.,177,0
In June the Supreme Court ruled that anti-sodomy laws are unconstitutional.,U.S. Supreme Court in favor of same-sex marriage,1602,1
"For women who are HIV negative or who do not know their HIV status, breastfeeding should be protected, promoted and supported for six months.","For HIV-positive mothers, the decision about whether or not to breastfeed a child can be difficult.",601,1
"Dr. Eric Goosby, a pioneer in the fight against AIDS, is President Obama's choice to run the American effort to combat the disease globally, the White House announced Monday. The President's Emergency Plan For AIDS Relief, known as Pepfar, was championed by President George W. Bush. It is expected to spend $48 billion over the next five years and is credited with markedly reducing the disease's death rate. Its prevention policy has been controversial because of its emphasis on socially conservative methods. With a new administration and a Democratic majority in the House, organizations seeking prevention choices beyond abstinence and fidelity — including a renewed commitment to distributing condoms — are eager to try to rewrite the guidelines.",Pepfar is committed to fighting AIDS.,2486,0
"On his oak mantelpiece are a drinking bowl from Lake Turkana and an East African gourd, both of which he bought in Nairobi where he went in the fall of 1993 to visit Kitum Cave, the suspected host site for the Marburg virus, which is closely related to Ebola.",The Ebola virus has been found in Zaire.,1376,1
"The nation got its long-awaited first look at Bo in action as the Obamas showed off the family's new dog on the South Lawn. First lady Michelle Obama did most of the walking while the 6-month-old Portuguese water dog scampered about. Then daughter Malia took a turn, and Bo took off running. The girls grinned as they played with Bo. Sasha clapped her hands at one point, calling for the dog's attention. Plainly pleased, the president said, ""He's a star. He's got star quality.""",Obama's dog is called Bo.,1722,0
"Mossad is one of the world's most well-known intelligence agencies, and is often viewed in the same regard as the CIA and MI6.",Mossad is an intelligence agency.,524,0
"For others, in the northern hemisphere, judgment may be a little off due to Seasonal Affective Disorder (SAD), which is often at its peak in the weeks following the shortest hours of daylight.",Seasonal Affective Disorder (SAD) is a worldwide disorder.,254,1
"Nokia, Texas Instruments and other leading makers of mobile phones have formally complained to Brussels that Qualcomm, the US mobile chipmaker, has unfairly used its patents on 3G technologies.",Texas Instruments produces mobile phones.,54,0
"A zoo worker is dead and two visitors are seriously injured after a Siberian tiger escaped from the San Francisco Zoo in San Francisco, California in the United States and attacked three people who were inside a cafe. The tiger was shot dead by police who were called to the scene. They found the tiger attacking one of the zoo visitors when they killed it.",A tiger attacked three people in San Francisco.,1746,0
The GDP report showed growth in business outlays advanced at a solid 8.9% pace.,The GDP was a disappointing report.,582,1
"Gibbs also said that Obama planned to meet with Iraqi Prime Minister Nouri al-Maliki, but poor weather in Baghdad means that Obama will likely talk to the prime minister and Iraqi President Jalal Talibani by telephone. American troops are slated to leave Iraq by August 2010, with The New York Times reporting that troop levels will continue to be high until Iraq's federal elections in December. Obama told a group of university students in Turkey that despite his original opposition to the war in 2003, he realized that the troop withdrawal must be done carefully.",Jalal Talibani is friends with Obama.,1065,1
"NIH's FY05 budget request of $28.8 billion includes $2 billion for the National Institute of General Medical Sciences, a 3.4-percent increase, and $1.1 billion for the National Center for Research Resources, and a 7.2-percent decrease from FY04 levels.",A request was reduced to $1.1 billion,223,1
"Nike Inc. said, Monday, that its first-quarter profit grew 32 percent, as the world's largest sneaker and athletic apparel company posted broad gains in sales and orders.","Nike said orders for footwear and apparel for delivery totaled $4.9 billion, including a 12 percent increase in U.S. orders.",463,1
"Jyestadeva (1500-1610), was an astronomer of the Kerala school founded by Madhava of Sangamagrama and a student of Damodara. He is most known for writing the first calculus text, the Yuktibhasa . He also authored the Drk-karana on astronomical observations.",Jyestadeva is the author of the Yuktibhasa.,2397,0
"Hunting reef sharks is now banned throughout Maldivian waters. The government decision has made the Indian Ocean archipelago the first nation in the region to outlaw the practice. Shark numbers have plummeted in the Maldives in recent years because a significant minority of fishermen target sharks for their lucrative fins, which are used in shark-fin soup, a luxury Asian dish. Once its fins have been cut off, the shark is often returned to the sea where it suffocates over many painful hours.","Due to the decreasing number of sharks, Maldives have banned the hunt of reef sharks.",2158,0
"A Miami International Airport concourse was evacuated for three hours Wednesday, after a pepper spray can discharged, causing 43 people to suffer respiratory distress.","An Airport concourse was evacuated Wednesday, after people began having trouble breathing.",737,0
"An auto analyst for Bombay's Angel Broking, Vaishali Jajoo, predicted that the Nano will add only three percent to Tata's revenues even if it can sell a quarter of a million such cars per annum. ""That doesn't make a significant difference to the top line,"" Jajoo said. ""And for the bottom line, it will take five to six years to break even."" Environmentalists say that the car will exacerbate traffic problems already rife in India, and help increase pollution levels. Tata, however, stated that its vehicle is the least polluting car in the country.",Angel Broking is based in Bombay.,155,0
"Energy analysts said oil prices could soar as high as $80 a barrel and drivers in the U.S. could soon be paying $3 a gallon for gasoline, if damage reports from oil companies bear bad news.",Oil prices surged.,2356,1
"Michael Jordan, coach Phil Jackson and the star cast, including Scottie Pippen, took the Chicago Bulls to six National Basketball Association championships.",The Bulls basketball team is based in Chicago.,736,0
"The city is twinned with Glasgow, Dortmund, Pleven, and Le Mans.",Dortmund is twinned with Glasgow.,688,1
"While the Baltic countries are set to join the European Union soon, their economies are already in good shape. Estonia, Latvia and Lithuania boast the fastest economic growth in the entire Baltic Sea region, for example.",The Baltic Countries will join the EU.,1463,0
"Just one week before the elections, Antwerp was the scene of the 0110 concerts, organised against racism, extremism and gratuitous violence. The event was spurred by a series of acts of ""pointless violence"" during the last year (the murder of Joe Van Holsbeeck, the case Hans Van Themsche and the events surrounding Guido Demoor. However, Vlaams Belang asked many musicians to boycott the event, because it ""only targets Vlaams Belang"". The party considered the concerts as a direct attack by the political establishment. Since 1989, the other parties have instituted a cordon sanitaire against Vlaams Belang, forcing them into the opposition, notwithstanding their increasing electorial success.",Guido Demoor was assassinated by Joe Van Holsbeeck.,493,1
"The magnitude 7 earthquake that occurred today on the Hayward fault (a part of the San Andreas fault system, along the densely populated eastern side of San Francisco bay) caused hundreds of deaths and almost $100 billion of damage.",There was a magnitude 7 earthquake on the Hayward fault.,297,0
Hydrogen cyanide is used in manufacturing chemicals such as tryptophan and other amino acids.,Cyanide is used in the production of pharmaceuticals.,1836,1
"The Walt Disney Co. donated one of the world's most significant private collections of African artwork, yesterday, to the Smithsonian's National Museum of African Art.",Disney gave the Smithsonian a trove of sought-after African art.,619,0
"An audience of 8.3 million people watched rural soap, ""Emmerdale"", on Thursday, while a live episode of ""The Bill"" got 7.9 million viewers.","Hour-long special episodes of ITV soaps, ""Emmerdale"" and ""The Bill"", were the top-rated UK TV shows on the commercial channel's 50th anniversary.",1491,1
"On August 21, the Polish weekly Przekrój published an advertisement for Dan-Mark exercise books, bearing the logo of 4fun.tv, a Polish music/interactive  TV station. Part of the advertisement contained a definition of the word ""exercise book"". The wording looked familiar, and Wikinews consulted Wikipedia,  the collaborative online encyclopedia. Upon seeing the Wikipedia definition, it appeared that the entry quoted in the promotional material was identical to the initial two paragraphs of the relevant Wikipedia entry.",Readers of online encyclopedias can edit the contents.,1758,1
Coal company stocks got a lift Monday morning after an article in Barron's said the industry was benefiting from soaring natural gas prices and the advent of new power plants that emit less pollution.,Coal stocks rise.,713,0
"The car which crashed against the mail-box belonged to James Clark, 68, an acquaintance of James Jones' family.",Clark is a relative of Jones'.,178,1
All U.S Embassy personnel in non-emergency positions and family members of U.S Embassy personnel who were evacuated as a result of the initial conflict have been authorized to return to Eritrea.,U.S. Military evacuated U.S. citizens.,2116,1
"The Black Panther, or ""The Black Pearl"", as he was known, was top scorer in the 1966 World Cup, with nine goals to his name.","The best scorer at the World Championship in 1966 was ""The Black Pearl.""",291,0
"The Prince of Wales and  Bowles will marry on Friday, April 8, at Windsor Castle, said Clarence House, Charles' residence and office.",The Prince of Wales and Bowles will marry in a civil ceremony at Windsor Castle.,1480,1
"A plane crashed in North Carolina last year and most of the Blink-182 group was in there. The only survivors of the crash were DJ AM and musical partner Travis Barker. Less lucky, ""Lil"" Chris Baker, Barker's close friend and assistant, the Blink-182 drummer's bodyguard, Charles ""Che"" Still, the pilot and co-pilot died. Both AM and Barker suffered many injures, bad burns and they needed to stay in hospital for several weeks. Now AM asks $20 million in compensation for injuries he suffered. He lawsuits against plane maker Learjet and wants to gain $10 million for medical damages, lost earnings and profit and the same amount for mental and physical suffering.",Travis Barker belongs to a band.,123,0
"The nine men, aged between 19 and 32, are being held at Paddington Green high security police station in central London.",between 19 and 32 men are being held at Paddington Green high security police station in central London.,1905,1
"Lebanon is in a period of mourning after a massive car bomb killed the former Prime Minister, Rafik Hariri, on Tuesday.",Mr. Hariri was killed in a bomb explosion.,2422,0
"Over 100 more lives were lost at sea, and 1800 were lost in Holland.",100 or more people lost their lives in a ferry sinking.,1583,1
"Alleged terrorists today, killed Dolores Hinostroza, the mayor of Mulqui district, shooting her five times.",The mayor of Mulqui district was murdered with a firearm.,2211,0
"The memo, written by Marc Allen Connelly (who was general counsel to the funeral services commission at the time) and sent to Dick McNeil (the Bush-appointed chairman of the funeral commission), stated that Connelly ""received information"" from Texas state officials that two of the funeral commissioners worked for SCI.",Marc Allen Connelly worked for SCI.,172,1
"Arizona offers better mental-health care than most other states but still struggles to deliver services to people who are suffering, according to a national report card released Wednesday. The National Alliance on Mental Illness graded Arizona a C, marking a modest improvement over the D grade the state received three years ago, the last time the study was conducted. Arizona was one of 18 states to get a C. The national average was a D. Six states received a B; none received an A.",Arizona and 17 other states received a C in the field of mental-care health.,1610,0
"Ecuador has received short shrift in U.S. policy debates. Yet in recent years, significant public debate has taken place in Ecuador on the joint U.S./Colombian initiative and its effects on Ecuador and its citizens.",Peru debates border region with Ecuador.,658,1
Durham is the 'City of Medicine' and home of Duke University and North Carolina Central.,Duke University is in Durham.,1076,0
"The United States government has filed a civil lawsuit against BP Exploration (Alaska) Inc. (BPXA) alleging that the company ""violated federal clean air and water laws"" by ""illegally discharging"" more than 200,000 gallons crude oil during two oil spills in 2006 on Alaska's North Slope in Prudhoe Bay. BPXA previously pleaded guilty to one count of criminal negligence in illegally discharging the oil and paid US$20 million in damages. As a result of the plea, the lawsuit was filed saying that they ""failed"" to prepare for such a disaster by implementing ""certain [sic] spill prevention measures"" as the law requires.",Prudhoe Bay is situated in North Slope.,2162,1
The Federal Bureau of Investigation started an independent probe of the circumstances shortly after the White House made plain that President Bill Clinton considered industrial espionage a particular threat to US economic interests.,A US probe of the investigation started at the instigation of the Commerce Department.,87,1
Women are poorly represented in transactions financed by mortgage bonds.,Women are poorly represented in parliament.,2257,1
"Fears were growing last night for the safety of a 'distressed' mother who has disappeared with her disabled nine-year-old daughter. Florist Jude Richmond, whose customers include the Royal Family, was last seen carrying cerebral palsy sufferer Millie Whitehead-Richmond as they left home on Sunday night. Mrs Richmond, 41, was said to have been devastated after splitting from her husband and business partner, Nicholas Richmond, earlier this year.  Police believe she became increasingly depressed after the split. She is said to be in a 'very vulnerable state of mind' at the time of her disappearance.",Jude Richmond works with the police.,317,1
In most Pacific countries there are very few women in parliament.,Women are poorly represented in parliament.,975,0
Cancer Research Campaign signed a deal with a US pharmaceuticals company to develop a pioneering cancer treatment.,Other changes involve joint Research and Development programs with other companies.,159,1
"NEW YORK (CNNMoney.com) -- The Empire State Building kicked off a major energy-saving retrofit Monday, and promoters hope one of the world's most iconic skyscrapers can become an efficiency model for buildings worldwide. From the cloud-shrouded observation deck on the building's 80th floor, former President Bill Clinton, New York City Mayor Michael Bloomberg and others detailed $20 million in cutting-edge conservation measures they hope will cut energy use by 38% for the 1930's-era behemoth. They stressed the retrofits weren't green altruism or part of a government program. Instead, they say they're being done simply to save the building's owners a lot of money.",The mayor of New York is Michael Bloomberg.,1231,0
"First Sea Lord Admiral Sir Jonathon Band GCB, ADC of the United Kingdom, the most senior serving officer in the Royal Navy, said that ""...the submarines came into contact at very low speed. Both submarines remained safe. No injuries occurred. We can confirm the capability remains unaffected and there was no compromise to nuclear safety."" ""Both navies want quiet areas, deep areas, roughly the same distance from their home ports. So you find these station grounds have got quite a few submarines, not only French and Royal Navy but also from Russia and the United States. Navies often used the same nesting grounds,"" said John H. Large, an independent nuclear engineer and analyst primarily known for his work in assessing and reporting upon nuclear safety and nuclear related accidents and incidents.",Two submarines have collided.,623,0
Hippos do come into conflict with people quite often.,Hippopotamus attacks human.,2126,0
"With the city's hotels in the midst of a sudden slowdown in business, operators are seeking wage cuts and other concessions from the unions representing 27,500 bellhops, housekeepers and waiters. But the unions are drawing a line across hotel lobbies, from the high-end Carlyle to the more budget-minded Ramada Inn, saying they see no need to bend now that operators are cutting rates in an effort to fill vacant rooms with tourists, executives and other travelers. It is far too soon to judge the financial health of the industry, said Peter Ward, president of the New York Hotel and Motel Trades Council, an alliance of hotel unions.",The New York Hotel and Motel Trades Council is an alliance of hotel unions.,97,0
Phish disbands after a final concert in Vermont on Aug. 15,Rock band Phish holds final concert in Vermont.,255,0
Sharon warns Arafat could be targeted for assassination.,prime minister targeted for assassination,2230,1
